season,week,player,historicalRank,easyCode,easyScore,hardCode,hardScore,total,placement,divisionPlacement,points,sourcePlayerId,easyRoundId,hardRoundId,discordId
13,11,mini_G,ELITE,GBE,-28,GBH,-23,-51,1,1,25,8549,63337,63338,
13,11,El Jorge,ELITE,GBE,-28,GBH,-22,-50,2,2,21,24,63397,63398,
13,11,Duckk,ELITE,GBE,-24,GBH,-19,-43,3,3,18,421,63341,63342,
13,11,INDY,ELITE,GBE,-19,GBH,-22,-41,4,4,16,22,63399,63400,
13,11,leanin2it,ELITE,GBE,-25,GBH,-16,-41,4,4,16,6950,63403,63404,
13,11,bigja33,ELITE,GBE,-17,GBH,-21,-38,6,6,14,4305,63335,63336,
13,11,Fakku_FR,PRO,GBE,-26,GBH,-12,-38,6,1,14,9268,63387,63388,
13,11,peach🌻,PRO,GBE,-21,GBH,-17,-38,6,1,14,77,63383,63384,
13,11,deebee,PRO,GBE,-19,GBH,-18,-37,9,3,11,65,63367,63368,
13,11,gomarino13,ELITE,GBE,-24,GBH,-13,-37,9,7,11,7171,63393,63394,
13,11,Laurent🇧🇪,PRO,GBE,-19,GBH,-18,-37,9,3,11,4186,63331,63332,
13,11,Jennem,PRO,GBE,-22,GBH,-14,-36,12,5,9,104,63371,63372,
13,11,PaulV-PPP 🇨🇦,PRO,GBE,-22,GBH,-14,-36,12,5,9,7183,63365,63366,
13,11,yankeedude1123,ELITE,GBE,-23,GBH,-13,-36,12,8,9,4927,63389,63390,
13,11,Maximus,ELITE,GBE,-24,GBH,-11,-35,15,9,9,7177,63347,63348,
13,11,BadWolff🐺,PRO,GBE,-21,GBH,-13,-34,16,7,8,6947,63369,63370,
13,11,Gatorsfan89,SEMI,GBE,-24,GBH,-10,-34,16,1,8,8828,63333,63334,
13,11,Larryr,PRO,GBE,-25,GBH,-9,-34,16,7,8,7968,63401,63402,
13,11,Slabdaddy,SEMI,GBE,-19,GBH,-15,-34,16,1,8,7267,63395,63396,
13,11,Mully,ELITE,GBE,-17,GBH,-16,-33,20,10,7,88,63407,63408,
13,11,StoneyMan69,SEMI,GBE,-17,GBH,-13,-30,21,3,7,7166,63375,63376,
13,11,Raccoons Whisker,SEMI,GBE,-19,GBH,-9,-28,22,4,7,8268,63353,63354,
13,11,roknhorsebrat,PRO,GBE,-17,GBH,-11,-28,22,9,7,6165,63385,63386,
13,11,SlugJug33,SEMI,GBE,-16,GBH,-12,-28,22,4,7,8788,63359,63360,
13,11,awesome_kris,SEMI,GBE,-23,GBH,-4,-27,25,6,6,7207,63373,63374,
13,11,KCRob,PRO,GBE,-23,GBH,-4,-27,25,10,6,49,63411,63412,
13,11,plucky✌,PRO,GBE,-14,GBH,-13,-27,25,10,6,1108,63409,63410,
13,11,Earthling,SEMI,GBE,-20,GBH,-5,-25,28,7,5,230,63405,63406,
13,11,ZoeDarlin,SEMI,GBE,-19,GBH,-6,-25,28,7,5,8448,63361,63362,
13,11,Nic79,SEMI,GBE,-19,GBH,-5,-24,30,9,5,7176,63391,63392,
13,11,SerenityMoon,PRO,GBE,-17,GBH,-7,-24,30,12,5,244,63413,63414,
13,11,Chelle💯,SEMI,GBE,-19,GBH,-4,-23,32,10,4,7186,63415,63416,
13,11,Kd,AMA,GBE,-19,GBH,-4,-23,32,1,4,8188,63357,63358,
13,11,Chipnputt,PRO,GBE,-18,GBH,-4,-22,34,13,4,7172,63419,63421,
13,11,DJTwigg,SEMI,GBE,-19,GBH,-3,-22,34,11,4,7185,63349,63350,
13,11,NuttyGrandpa,SEMI,GBE,-15,GBH,-7,-22,34,11,4,93,63418,63422,
13,11,KnockoutG 🥊,PRO,GBE,-12,GBH,-9,-21,37,14,3,3237,63377,63378,
13,11,Audrey,AMA,GBE,-19,GBH,0,-19,38,2,3,8608,63355,63356,
13,11,Ultrafox_Lynne,AMA,GBE,-18,GBH,2,-16,39,3,2,7229,63351,63352,
13,11,Golfshark,AMA,GBE,-17,GBH,2,-15,40,4,2,9328,63339,63340,
13,11,Shaggy960,SEMI,GBE,-18,GBH,3,-15,40,13,2,9048,63363,63364,
13,11,WendyW(Wyndemere2020),AMA,GBE,-13,GBH,-1,-14,42,5,2,7231,63379,63380,
13,11,D3bb13,PRO,GBE,-13,GBH,2,-11,43,15,1,72,63381,63382,
13,11,musical_atv 🎻,SEMI,GBE,-12,GBH,1,-11,43,14,1,8148,63345,63346,
13,11,KillERBee,AMA,GBE,-13,GBH,4,-9,45,6,1,7173,63417,63420,
13,11,Bearded_Driver,AMA,GBE,-9,GBH,3,-6,46,7,1,8428,63343,63344,
