season,week,player,historicalRank,easyCode,easyScore,hardCode,hardScore,total,placement,divisionPlacement,points,sourcePlayerId,easyRoundId,hardRoundId,discordId
12,4,𝙹𝚞𝚕𝚒𝚊𝚗,ELITE,LLE,-31,LLH,-22,-53,1,1,25,6745,60407,60408,
12,4,INDY,ELITE,LLE,-29,LLH,-23,-52,2,2,21,22,60432,60433,
12,4,Zanetti,ELITE,LLE,-29,LLH,-23,-52,2,2,21,28,60353,60354,
12,4,El Jorge,ELITE,LLE,-23,LLH,-23,-46,4,4,16,24,60430,60431,
12,4,Slappy,PRO,LLE,-26,LLH,-20,-46,4,1,16,1705,60414,60415,
12,4,Derby_Daz,ELITE,LLE,-25,LLH,-20,-45,6,5,14,54,60315,60316,
12,4,bigja33,ELITE,LLE,-21,LLH,-23,-44,7,6,13,4305,60317,60318,
12,4,Kyda,PRO,LLE,-20,LLH,-24,-44,7,2,13,3213,60325,60326,
12,4,leanin2it,ELITE,LLE,-23,LLH,-20,-43,9,7,11,6950,60359,60360,
12,4,Ⲋⲧⲓⲥⲕⲩ,PRO,LLE,-24,LLH,-19,-43,9,3,11,8048,60357,60358,
12,4,gomarino13,ELITE,LLE,-24,LLH,-18,-42,11,8,9,7171,60422,60423,
12,4,KnockoutG 🥊,PRO,LLE,-24,LLH,-18,-42,11,4,9,3237,60405,60406,
12,4,yankeedude1123,ELITE,LLE,-21,LLH,-21,-42,11,8,9,4927,60351,60352,
12,4,BadWolff🐺,PRO,LLE,-22,LLH,-19,-41,14,5,9,6947,60379,60380,
12,4,Spicy - DawnSophia,ELITE,LLE,-21,LLH,-20,-41,14,10,9,7165,60381,60382,
12,4,Duckk,ELITE,LLE,-25,LLH,-15,-40,16,11,9,421,60399,60400,
12,4,Earthling,SEMI,LLE,-19,LLH,-21,-40,16,1,9,230,60440,60441,
12,4,PaulV-PPP 🇨🇦,PRO,LLE,-22,LLH,-18,-40,16,6,9,7183,60377,60378,
12,4,Gobson,ELITE,LLE,-23,LLH,-15,-38,19,12,8,4645,60411,60412,
12,4,Maximus,ELITE,LLE,-18,LLH,-20,-38,19,12,8,7177,60311,60312,
12,4,Princess_Bankshot,ELITE,LLE,-22,LLH,-16,-38,19,12,8,4945,60365,60366,
12,4,The Real JB,PRO,LLE,-21,LLH,-17,-38,19,7,8,8708,60434,60435,
12,4,deebee,PRO,LLE,-22,LLH,-15,-37,23,8,7,65,60323,60324,
12,4,Alyssa38,SEMI,LLE,-19,LLH,-17,-36,24,2,7,7184,60321,60322,
12,4,stewiestewie,PRO,LLE,-17,LLH,-19,-36,24,9,7,36,60369,60370,
12,4,Chipnputt,PRO,LLE,-22,LLH,-12,-34,26,10,7,7172,60385,60386,
12,4,SlugJug33,SEMI,LLE,-21,LLH,-13,-34,26,3,7,8788,60424,60425,
12,4,TrickyDicky,PRO,LLE,-21,LLH,-13,-34,26,10,7,59,60367,60368,
12,4,Larryr,PRO,LLE,-21,LLH,-12,-33,29,12,6,7968,60426,60427,
12,4,D3bb13,PRO,LLE,-18,LLH,-14,-32,30,13,6,72,60393,60394,
12,4,Mully,ELITE,LLE,-19,LLH,-12,-31,33,15,6,88,60442,60443,
12,4,roknhorsebrat,PRO,LLE,-10,LLH,-21,-31,33,15,6,6165,60403,60404,
12,4,Matt916,PRO,LLE,-22,LLH,-7,-29,35,16,5,32,60375,60376,
12,4,Shaggy960,SEMI,LLE,-17,LLH,-11,-28,36,5,5,9048,60355,60356,
12,4,Slabdaddy,SEMI,LLE,-20,LLH,-8,-28,36,5,5,7267,60420,60421,
12,4,indianchief,SEMI,LLE,-20,LLH,-7,-27,38,7,5,120,60395,60396,
12,4,Laurent🇧🇪,PRO,LLE,-20,LLH,-7,-27,38,17,5,4186,60313,60314,
12,4,NuttyGrandpa,SEMI,LLE,-17,LLH,-10,-27,38,7,5,93,60417,60416,
12,4,SerenityMoon,PRO,LLE,-20,LLH,-7,-27,38,17,5,244,60389,60390,
12,4,DMD-Enditnow,SEMI,LLE,-24,LLH,0,-24,42,9,4,7175,60391,60392,
12,4,Audrey,AMA,LLE,-11,LLH,-12,-23,43,1,4,8608,60371,60372,
12,4,Chelle💯,SEMI,LLE,-14,LLH,-9,-23,43,10,4,7186,60436,60437,
12,4,Neo Impossible,ELITE,LLE,-13,LLH,-10,-23,43,16,4,1205,60428,60429,
12,4,plucky✌,PRO,LLE,-17,LLH,-6,-23,43,19,4,1108,60438,60439,
12,4,lynniebodd,SEMI,LLE,-13,LLH,-9,-22,47,11,3,222,60319,60320,
12,4,Kd,AMA,LLE,-12,LLH,-9,-21,48,2,3,8188,60361,60362,
12,4,Jennem,PRO,LLE,-17,LLH,-3,-20,49,20,3,104,60363,60364,
12,4,WendyW(Wyndemere2020),AMA,LLE,-9,LLH,-10,-19,50,3,2,7231,60409,60410,
12,4,Nic79,SEMI,LLE,-15,LLH,-3,-18,51,12,2,7176,60387,60388,
12,4,Ultrafox_Lynne,AMA,LLE,-21,LLH,4,-17,53,4,2,7229,60418,60419,
12,4,KillERBee,AMA,LLE,-19,LLH,3,-16,54,5,2,7173,60383,60384,
12,4,GripRip,SEMI,LLE,-13,LLH,-2,-15,55,14,2,7328,60331,60332,
12,4,ZoeDarlin,SEMI,LLE,-13,LLH,1,-12,57,15,1,8448,60401,60402,
12,4,Raccoons Whisker,SEMI,LLE,-6,LLH,-1,-7,59,16,1,8268,60373,60374,
12,4,Woofmaster521 (Kathy),AMA,LLE,-9,LLH,13,4,61,9,1,8390,60397,60398,
12,4,DJTwigg,SEMI,LLE,-18,LLH,-14,-32,30,4,-1,7185,60471,60472,
12,4,sarahloo1971,PRO,LLE,-22,LLH,-10,-32,30,13,-1,63,60459,60460,
