season,week,player,historicalRank,easyCode,easyScore,hardCode,hardScore,total,placement,divisionPlacement,points,sourcePlayerId,easyRoundId,hardRoundId,discordId
8,2,stewiestewie,PRO,AWE,-23,AWH,-17,-40,1,1,25,36,52003,52004,
8,2,bigja33,ELITE,AWE,-22,AWH,-17,-39,2,1,21,4305,51955,51956,
8,2,INDY,ELITE,AWE,-24,AWH,-15,-39,2,1,21,22,51911,51912,
8,2,El Jorge,ELITE,AWE,-26,AWH,-12,-38,4,3,16,24,51913,51914,
8,2,Zanetti,ELITE,AWE,-18,AWH,-20,-38,4,3,16,28,51969,51970,
8,2,freitag68,AMA,AWE,-20,AWH,-17,-37,6,1,14,2505,51953,51954,
8,2,TrickyDicky,PRO,AWE,-22,AWH,-15,-37,6,2,14,59,52001,52002,
8,2,Gobson,ELITE,AWE,-21,AWH,-15,-36,8,5,12,4645,52009,52010,
8,2,leanin2it,ELITE,AWE,-20,AWH,-16,-36,8,5,12,6950,52013,52014,
8,2,Slappy,PRO,AWE,-23,AWH,-12,-35,10,3,10,1705,51993,51994,
8,2,Matt916,PRO,AWE,-20,AWH,-14,-34,11,4,9,32,51921,51922,
8,2,Luke.warm.dog.water,AMA,AWE,-23,AWH,-10,-33,12,2,9,7969,52037,52038,
8,2,yankeedude1123,ELITE,AWE,-19,AWH,-14,-33,12,7,9,4927,52031,52032,
8,2,Derby_Daz,ELITE,AWE,-19,AWH,-13,-32,14,8,9,54,51965,51966,
8,2,Princess_Bankshot,ELITE,AWE,-20,AWH,-12,-32,14,8,9,4945,52005,52006,
8,2,DABIGWILLO,PRO,AWE,-24,AWH,-7,-31,16,5,8,3506,51951,51952,
8,2,Maximus,ELITE,AWE,-18,AWH,-13,-31,16,10,8,7177,51979,51980,
8,2,BadWolff🐺,PRO,AWE,-19,AWH,-11,-30,18,6,8,6947,52017,52018,
8,2,Chicagobry,AMA,AWE,-22,AWH,-8,-30,18,3,8,7125,51985,51986,
8,2,deebee,PRO,AWE,-17,AWH,-13,-30,18,6,8,65,51981,51982,
8,2,RYANL503,AMA,AWE,-17,AWH,-13,-30,18,3,8,7174,51983,51984,
8,2,Larryr,PRO,AWE,-21,AWH,-7,-28,22,8,7,7968,52035,52036,
8,2,KCRob,PRO,AWE,-15,AWH,-12,-27,23,9,7,49,52021,52022,
8,2,mammothrept,PRO,AWE,-20,AWH,-6,-26,24,10,7,5645,51971,51972,
8,2,sarahloo1971,PRO,AWE,-19,AWH,-7,-26,24,10,7,63,51957,51958,
8,2,ARTSY,SEMI,AWE,-15,AWH,-10,-25,26,1,6,7610,52027,52028,
8,2,KnockoutG 🥊,PRO,AWE,-23,AWH,-2,-25,26,12,6,3237,51997,51998,
8,2,Laurent🇧🇪,PRO,AWE,-15,AWH,-10,-25,26,12,6,4186,51919,51920,
8,2,Mully,ELITE,AWE,-22,AWH,-3,-25,26,11,6,88,51923,51924,
8,2,gomarino13,ELITE,AWE,-20,AWH,-4,-24,30,12,6,7171,52033,52034,
8,2,lynniebodd,SEMI,AWE,-16,AWH,-8,-24,30,2,6,222,51959,51960,
8,2,SerenityMoon,PRO,AWE,-13,AWH,-10,-23,32,14,5,244,51989,51990,
8,2,Spicy - DawnSophia,ELITE,AWE,-16,AWH,-7,-23,32,13,5,7165,52015,52016,
8,2,Chipnputt,PRO,AWE,-14,AWH,-8,-22,34,15,5,7172,51931,51932,
8,2,DMD-Enditnow,SEMI,AWE,-14,AWH,-8,-22,34,3,5,7175,51995,51996,
8,2,D3bb13,PRO,AWE,-16,AWH,-5,-21,36,16,4,72,52011,52012,
8,2,GuyB22,SEMI,AWE,-17,AWH,-4,-21,36,4,4,4866,52007,52008,
8,2,Jennem,PRO,AWE,-17,AWH,-3,-20,38,17,4,104,51991,51992,
8,2,plucky✌,PRO,AWE,-18,AWH,-2,-20,38,17,4,1108,52039,52040,
8,2,Ⲋⲧⲓⲥⲕⲩ,PRO,AWE,-21,AWH,1,-20,38,17,4,8048,52023,52024,
8,2,awesome_kris,SEMI,AWE,-15,AWH,-4,-19,41,5,3,7207,51973,51974,
8,2,Missi,AMA,AWE,-15,AWH,-3,-18,42,5,3,322,52025,52026,
8,2,olle,AMA,AWE,-14,AWH,-4,-18,42,5,3,3745,51967,51968,
8,2,Sandtrap,AMA,AWE,-10,AWH,-8,-18,42,5,3,7167,51915,51916,
8,2,StoneyMan69,SEMI,AWE,-10,AWH,-6,-16,45,6,3,7166,51987,51988,
8,2,KIM,AMA,AWE,-12,AWH,-3,-15,46,8,2,7728,52029,52030,
8,2,Alyssa38,SEMI,AWE,-16,AWH,3,-13,47,7,2,7184,51961,51962,
8,2,roknhorsebrat,PRO,AWE,-7,AWH,-5,-12,48,20,2,6165,51999,52000,
8,2,Sj_76,AMA,AWE,-7,AWH,-3,-10,49,9,2,129,51917,51918,
8,2,WickedShack🇩🇪,PRO,AWE,-12,AWH,2,-10,49,21,2,102,52019,52020,
8,2,l7jazz,PRO,AWE,-12,AWH,3,-9,51,22,1,7908,51975,51976,
8,2,NuttyGrandpa,SEMI,AWE,-13,AWH,4,-9,51,8,1,93,51935,51936,
8,2,StevieWonderful,AMA,AWE,-14,AWH,7,-7,53,10,1,7428,51977,51978,
8,2,GripRip,SEMI,AWE,-5,AWH,2,-3,54,9,1,7328,51963,51964,
8,2,KillERBee,AMA,AWE,-3,AWH,0,-3,54,11,1,7173,51933,51934,
