season,week,player,historicalRank,easyCode,easyScore,hardCode,hardScore,total,placement,divisionPlacement,points,sourcePlayerId,easyRoundId,hardRoundId,discordId
7,1,INDY,ELITE,HHE,-17,HHH,-17,-34,1,1,25,22,49920,49923,
7,1,leanin2it,ELITE,HHE,-14,HHH,-17,-31,2,2,21,6950,49971,49972,
7,1,Maximus,ELITE,HHE,-17,HHH,-14,-31,2,2,21,7177,49907,49910,
7,1,Derby_Daz,ELITE,HHE,-15,HHH,-14,-29,4,4,16,54,49891,49893,
7,1,Zanetti,ELITE,HHE,-16,HHH,-13,-29,4,4,16,28,49953,49954,
7,1,El Jorge,ELITE,HHE,-12,HHH,-14,-26,6,6,14,24,49919,49922,
7,1,olle,AMA,HHE,-15,HHH,-11,-26,6,1,14,3745,49892,49894,
7,1,Browner,PRO,HHE,-19,HHH,-6,-25,8,1,12,42,49921,49924,
7,1,Duckk,ELITE,HHE,-18,HHH,-7,-25,8,7,12,421,49943,49944,
7,1,Gobson,ELITE,HHE,-19,HHH,-6,-25,8,7,12,4645,49965,49966,
7,1,Princess_Bankshot,ELITE,HHE,-19,HHH,-6,-25,8,7,12,4945,49917,49918,
7,1,PaulV-PPP 🇨🇦,PRO,HHE,-15,HHH,-8,-23,12,2,9,7183,49973,49974,
7,1,LLABB23_LISA,AMA,HHE,-15,HHH,-7,-22,13,2,9,7188,49933,49936,
7,1,Mully,ELITE,HHE,-15,HHH,-7,-22,13,10,9,88,49926,49930,
7,1,Neo Impossible,ELITE,HHE,-17,HHH,-5,-22,13,10,9,1205,49994,49995,
7,1,deebee,PRO,HHE,-14,HHH,-6,-20,16,3,9,65,49908,49911,
7,1,KCRob,PRO,HHE,-17,HHH,-3,-20,16,3,9,49,49925,49929,
7,1,sarahloo1971,PRO,HHE,-16,HHH,-4,-20,16,3,9,63,49902,49905,
7,1,Captain,PRO,HHE,-14,HHH,-5,-19,19,6,8,57,49969,49970,
7,1,YUK1N,ELITE,HHE,-12,HHH,-7,-19,19,12,8,31,49957,49958,
7,1,Chicagobry,AMA,HHE,-15,HHH,-3,-18,21,3,8,7125,49901,49904,
7,1,GuyB22,SEMI,HHE,-15,HHH,-3,-18,21,1,8,4866,49975,49976,
7,1,Spicy - DawnSophia,ELITE,HHE,-16,HHH,-2,-18,21,13,8,7165,49927,49931,
7,1,D3bb13,PRO,HHE,-16,HHH,-1,-17,24,7,7,72,49989,49990,
7,1,Slappy,PRO,HHE,-5,HHH,-12,-17,24,7,7,1705,49955,49956,
7,1,awesome_kris,SEMI,HHE,-12,HHH,-4,-16,26,2,7,7207,50000,50003,
7,1,Savy,AMA,HHE,-8,HHH,-8,-16,26,4,7,6970,49993,49996,
7,1,BadWolff🐺,PRO,HHE,-14,HHH,-1,-15,28,9,6,6947,49963,49964,
7,1,freitag68,AMA,HHE,-12,HHH,-3,-15,28,5,6,2505,49909,49912,
7,1,yankeedude1123,ELITE,HHE,-13,HHH,-2,-15,28,14,6,4927,49937,49940,
7,1,SerenityMoon,PRO,HHE,-11,HHH,-3,-14,31,10,6,244,49999,50004,
7,1,Alisha0068,AMA,HHE,-9,HHH,-4,-13,32,6,5,7569,49987,49988,
7,1,mammothrept,PRO,HHE,-11,HHH,-2,-13,32,11,5,5645,49967,49968,
7,1,DOMEY,AMA,HHE,-13,HHH,1,-12,34,7,5,164,49961,49962,
7,1,onesilygrl,AMA,HHE,-12,HHH,0,-12,34,7,5,7145,49997,50001,
7,1,Chipnputt,PRO,HHE,-9,HHH,-2,-11,36,12,5,7172,49898,49895,
7,1,Jennem,PRO,HHE,-12,HHH,1,-11,36,12,5,104,49998,50002,
7,1,roknhorsebrat,PRO,HHE,-7,HHH,-4,-11,36,12,5,6165,49981,49982,
7,1,Awkward3Sauce,SEMI,HHE,-7,HHH,-3,-10,39,3,4,125,49928,49932,
7,1,l7jazz,PRO,HHE,-5,HHH,-5,-10,39,15,4,7908,49914,49915,
7,1,lynniebodd,SEMI,HHE,-16,HHH,6,-10,39,3,4,222,49903,49906,
7,1,plucky✌,PRO,HHE,-13,HHH,3,-10,39,15,4,1108,49951,49952,
7,1,KIM,AMA,HHE,-6,HHH,-3,-9,43,9,3,7728,49939,49942,
7,1,Missi,AMA,HHE,-11,HHH,4,-7,44,10,3,322,49938,49941,
7,1,KnockoutG 🥊,PRO,HHE,-8,HHH,3,-5,45,17,3,3237,49979,49980,
7,1,Master_KP,PRO,HHE,-12,HHH,7,-5,45,17,3,7169,49983,49984,
7,1,WickedShack🇩🇪,PRO,HHE,-7,HHH,2,-5,45,17,3,102,49913,49916,
7,1,NuttyGrandpa,SEMI,HHE,-2,HHH,-1,-3,48,5,2,93,49900,49897,
7,1,DABIGWILLO,PRO,HHE,-5,HHH,3,-2,49,20,2,3506,49959,49960,
7,1,SKEETER78,AMA,HHE,1,HHH,-2,-1,50,11,2,7554,49949,49950,
7,1,DMD-Enditnow,SEMI,HHE,-7,HHH,7,0,51,6,2,7175,49985,49986,
7,1,DJTwigg,SEMI,HHE,-6,HHH,7,1,52,7,1,7185,49945,49946,
7,1,StoneyMan69,SEMI,HHE,-8,HHH,9,1,52,7,1,7166,49947,49948,
7,1,KillERBee,AMA,HHE,-3,HHH,5,2,54,12,1,7173,49899,49896,
7,1,GripRip,SEMI,HHE,-3,HHH,8,5,55,9,1,7328,49977,49978,
7,1,SHEZ_FROM_HW,AMA,HHE,1,HHH,6,7,56,13,1,7628,49991,49992,
7,1,CHERIE_ROSE,AMA,HHE,0,HHH,26,26,57,14,1,7189,49934,49935,
