season,week,player,historicalRank,easyCode,easyScore,hardCode,hardScore,total,placement,divisionPlacement,points,sourcePlayerId,easyRoundId,hardRoundId,discordId
6,7,Zanetti,ELITE,ATE,-26,ATH,-17,-43,1,1,25,28,49077,49080,
6,7,INDY,ELITE,ATE,-26,ATH,-15,-41,2,2,21,22,49171,49172,
6,7,stewiestewie,PRO,ATE,-23,ATH,-18,-41,2,1,21,36,49141,49142,
6,7,deebee,PRO,ATE,-22,ATH,-18,-40,4,2,16,65,49121,49122,
6,7,SQUEEZY_JIBBZ,PRO,ATE,-28,ATH,-12,-40,4,2,16,46,49183,49184,
6,7,yankeedude1123,ELITE,ATE,-24,ATH,-15,-39,6,3,14,4927,49098,49099,
6,7,TrickyDicky,PRO,ATE,-25,ATH,-12,-37,7,4,13,59,49143,49144,
6,7,Gobson,ELITE,ATE,-24,ATH,-12,-36,8,4,12,4645,49135,49136,
6,7,Princess_Bankshot,ELITE,ATE,-24,ATH,-12,-36,8,4,12,4945,49169,49170,
6,7,bigja33,ELITE,ATE,-22,ATH,-13,-35,10,6,10,4305,49090,49091,
6,7,Neo Impossible,ELITE,ATE,-25,ATH,-10,-35,10,6,10,1205,49189,49190,
6,7,YUK1N,ELITE,ATE,-25,ATH,-10,-35,10,6,10,31,49088,49093,
6,7,Awkward3Sauce,SEMI,ATE,-22,ATH,-12,-34,13,1,9,125,49097,49100,
6,7,Chipnputt,PRO,ATE,-22,ATH,-12,-34,13,5,9,7172,49066,49068,
6,7,El Jorge,ELITE,ATE,-21,ATH,-13,-34,13,9,9,24,49173,49174,
6,7,gomarino13,ELITE,ATE,-24,ATH,-10,-34,13,9,9,7171,49177,49178,
6,7,MrDachshund81,SEMI,ATE,-26,ATH,-8,-34,13,1,9,5425,49151,49152,
6,7,Slappy,PRO,ATE,-23,ATH,-11,-34,13,5,9,1705,49085,49084,
6,7,ZONK,AMA,ATE,-23,ATH,-11,-34,13,1,9,3826,49185,49186,
6,7,DABIGWILLO,PRO,ATE,-25,ATH,-8,-33,20,7,8,3506,49087,49094,
6,7,PaulV-PPP 🇨🇦,PRO,ATE,-22,ATH,-11,-33,20,7,8,7183,49076,49082,
6,7,KCRob,PRO,ATE,-18,ATH,-14,-32,22,9,8,49,49133,49134,
6,7,freitag68,AMA,ATE,-18,ATH,-13,-31,23,2,8,2505,49119,49120,
6,7,sarahloo1971,PRO,ATE,-19,ATH,-12,-31,23,10,8,63,49060,49056,
6,7,PUTT_FOR_DOH,AMA,ATE,-17,ATH,-13,-30,25,3,7,7611,49139,49140,
