season,week,player,historicalRank,easyCode,easyScore,hardCode,hardScore,total,placement,divisionPlacement,points,sourcePlayerId,easyRoundId,hardRoundId,discordId
11,10,𝙹𝚞𝚕𝚒𝚊𝚗,ELITE,TSE,-25,TSH,-24,-49,1,1,25,6745,59167,59169,
11,10,Zanetti,ELITE,TSE,-24,TSH,-24,-48,2,2,21,28,59131,59133,
11,10,Matt916,PRO,TSE,-28,TSH,-18,-46,3,1,18,32,59201,59206,
11,10,INDY,ELITE,TSE,-23,TSH,-22,-45,4,3,16,22,59228,59230,
11,10,yankeedude1123,ELITE,TSE,-27,TSH,-18,-45,4,3,16,4927,59139,59147,
11,10,BadWolff🐺,PRO,TSE,-20,TSH,-24,-44,6,2,14,6947,59210,59212,
11,10,bigja33,ELITE,TSE,-27,TSH,-17,-44,6,5,14,4305,59146,59154,
11,10,Blutes87,ELITE,TSE,-24,TSH,-20,-44,6,5,14,41,59215,59213,
11,10,El Jorge,ELITE,TSE,-24,TSH,-15,-39,9,7,11,24,59227,59229,
11,10,TrickyDicky,PRO,TSE,-20,TSH,-18,-38,10,3,10,59,59183,59185,
11,10,D3bb13,PRO,TSE,-22,TSH,-15,-37,11,4,9,72,59135,59137,
11,10,DABIGWILLO,PRO,TSE,-24,TSH,-13,-37,11,4,9,3506,59145,59153,
11,10,KnockoutG 🥊,PRO,TSE,-21,TSH,-16,-37,11,4,9,3237,59199,59208,
11,10,l7jazz,PRO,TSE,-21,TSH,-16,-37,11,4,9,7908,59190,59188,
11,10,WickedShack🇩🇪,PRO,TSE,-22,TSH,-15,-37,11,4,9,102,59189,59187,
11,10,Laurent🇧🇪,PRO,TSE,-19,TSH,-16,-35,16,9,8,4186,59140,59148,
11,10,sarahloo1971,PRO,TSE,-20,TSH,-15,-35,16,9,8,63,59157,59160,
11,10,gomarino13,ELITE,TSE,-20,TSH,-14,-34,18,8,8,7171,59217,59220,
11,10,plucky✌,PRO,TSE,-15,TSH,-17,-32,19,11,8,1108,59226,59224,
11,10,The Real JB,PRO,TSE,-25,TSH,-7,-32,19,11,8,8708,59225,59223,
11,10,Gobson,ELITE,TSE,-18,TSH,-13,-31,21,9,7,4645,59168,59170,
11,10,lynniebodd,SEMI,TSE,-19,TSH,-12,-31,21,1,7,222,59155,59158,
11,10,Larryr,PRO,TSE,-21,TSH,-9,-30,23,13,7,7968,59219,59222,
11,10,SerenityMoon,PRO,TSE,-18,TSH,-12,-30,23,13,7,244,59171,59174,
11,10,Chipnputt,PRO,TSE,-23,TSH,-6,-29,25,15,6,7172,59143,59150,
11,10,gopats37,ELITE,TSE,-7,TSH,-22,-29,25,10,6,101,59216,59214,
11,10,PaulV-PPP 🇨🇦,PRO,TSE,-19,TSH,-10,-29,25,15,6,7183,59194,59198,
11,10,Slabdaddy,SEMI,TSE,-23,TSH,-6,-29,25,2,6,7267,59218,59221,
11,10,Alyssa38,SEMI,TSE,-14,TSH,-14,-28,29,3,6,7184,59156,59159,
11,10,Shooter_McGavin,ELITE,TSE,-17,TSH,-9,-26,30,11,5,8648,59161,59164,
11,10,SlugJug33,SEMI,TSE,-22,TSH,-4,-26,30,4,5,8788,59163,59166,
11,10,awesome_kris,SEMI,TSE,-13,TSH,-12,-25,32,5,5,7207,59172,59175,
11,10,Jennem,PRO,TSE,-16,TSH,-9,-25,32,17,5,104,59173,59176,
11,10,Princess_Bankshot,ELITE,TSE,-18,TSH,-6,-24,34,12,4,4945,59184,59186,
11,10,GuyB22,SEMI,TSE,-20,TSH,-3,-23,35,6,4,4866,59253,59252,
11,10,Mully,ELITE,TSE,-22,TSH,-1,-23,35,13,4,88,59191,59195,
11,10,roknhorsebrat,PRO,TSE,-17,TSH,-6,-23,35,18,4,6165,59200,59205,
11,10,ZoeDarlin,SEMI,TSE,-19,TSH,-4,-23,35,6,4,8448,59162,59165,
11,10,NuttyGrandpa,SEMI,TSE,-16,TSH,-4,-20,39,8,3,93,59132,59134,
11,10,Gatorsfan89,SEMI,TSE,-8,TSH,-9,-17,40,9,3,8828,59141,59149,
11,10,KillERBee,AMA,TSE,-13,TSH,-2,-15,41,1,3,7173,59142,59151,
11,10,WendyW(Wyndemere2020),AMA,TSE,-15,TSH,0,-15,41,1,3,7231,59192,59196,
11,10,indianchief,SEMI,TSE,-15,TSH,1,-14,43,10,2,120,59136,59138,
11,10,Kd,AMA,TSE,-12,TSH,-2,-14,43,3,2,8188,59181,59178,
11,10,Raccoons Whisker,SEMI,TSE,-14,TSH,2,-12,45,11,2,8268,59180,59177,
11,10,Spicy - DawnSophia,ELITE,TSE,-8,TSH,-4,-12,45,14,2,7165,59209,59211,
11,10,Nic79,SEMI,TSE,-15,TSH,4,-11,47,12,2,7176,59254,59251,
11,10,DBCQ,AMA,TSE,-16,TSH,8,-8,48,4,1,7928,59231,59232,
11,10,Dubi0us,SEMI,TSE,-5,TSH,3,-2,49,13,1,8928,59204,59207,
11,10,GripRip,SEMI,TSE,-11,TSH,16,5,50,14,1,7328,59193,59197,
11,10,Ultrafox_Lynne,AMA,TSE,-4,TSH,9,5,50,5,1,7229,59144,59152,
11,10,Audrey,AMA,TSE,-9,TSH,15,6,52,6,1,8608,59182,59179,
