season,week,player,historicalRank,easyCode,easyScore,hardCode,hardScore,total,placement,divisionPlacement,points,sourcePlayerId,easyRoundId,hardRoundId,discordId
6,1,INDY,ELITE,SLE,-31,SLH,-27,-58,1,1,25,22,48181,48182,
6,1,Zanetti,ELITE,SLE,-30,SLH,-26,-56,2,2,21,28,48123,48124,
6,1,𝙹𝚞𝚕𝚒𝚊𝚗,ELITE,SLE,-30,SLH,-26,-56,2,2,21,6745,48129,48130,
6,1,bigja33,ELITE,SLE,-28,SLH,-26,-54,4,4,16,4305,48121,48122,
6,1,AmberWave,AMA,SLE,-29,SLH,-22,-51,5,1,15,91,48169,48170,
6,1,leanin2it,ELITE,SLE,-29,SLH,-22,-51,5,5,15,6950,48163,48164,
6,1,gomarino13,ELITE,SLE,-28,SLH,-22,-50,7,6,13,7171,48221,48222,
6,1,Slappy,PRO,SLE,-30,SLH,-20,-50,7,1,13,1705,48151,48152,
6,1,BadWolff🐺,PRO,SLE,-30,SLH,-19,-49,9,2,11,6947,48213,48214,
6,1,SQUEEZY_JIBBZ,PRO,SLE,-27,SLH,-22,-49,9,2,11,46,48235,48236,
6,1,TrickyDicky,PRO,SLE,-29,SLH,-19,-48,11,4,9,59,48233,48234,
6,1,YUK1N,ELITE,SLE,-26,SLH,-22,-48,11,7,9,31,48161,48162,
6,1,DABIGWILLO,PRO,SLE,-30,SLH,-17,-47,13,5,9,3506,48125,48126,
6,1,Derby_Daz,ELITE,SLE,-27,SLH,-20,-47,13,8,9,54,48095,48096,
6,1,stewiestewie,PRO,SLE,-28,SLH,-19,-47,13,5,9,36,48231,48232,
6,1,Princess_Bankshot,ELITE,SLE,-31,SLH,-14,-45,16,9,9,4945,48149,48150,
6,1,El Jorge,ELITE,SLE,-28,SLH,-15,-43,17,10,9,24,48183,48184,
6,1,Matt916,PRO,SLE,-27,SLH,-16,-43,17,7,9,32,48217,48218,
6,1,deebee,PRO,SLE,-25,SLH,-17,-42,19,8,8,65,48165,48166,
6,1,HUEY,AMA,SLE,-24,SLH,-18,-42,19,2,8,7588,48091,48092,
6,1,Maximus,ELITE,SLE,-26,SLH,-16,-42,19,11,8,7177,48127,48128,
6,1,Gobson,ELITE,SLE,-22,SLH,-19,-41,22,12,8,4645,48193,48194,
6,1,GuyB22,SEMI,SLE,-24,SLH,-16,-40,23,1,8,4866,48167,48168,
6,1,WickedShack🇩🇪,PRO,SLE,-24,SLH,-16,-40,23,9,8,102,48113,48114,
6,1,ZONK,AMA,SLE,-21,SLH,-19,-40,23,3,8,3826,48227,48228,
6,1,CRAZYHORSE,AMA,SLE,-24,SLH,-15,-39,26,4,7,7181,48219,48220,
6,1,KCRob,PRO,SLE,-19,SLH,-20,-39,26,10,7,49,48101,48102,
6,1,Mully,ELITE,SLE,-24,SLH,-15,-39,26,13,7,88,48119,48120,
6,1,PaulV-PPP 🇨🇦,PRO,SLE,-23,SLH,-16,-39,26,10,7,7183,48159,48160,
6,1,D3bb13,PRO,SLE,-27,SLH,-11,-38,30,12,7,72,48185,48186,
6,1,roknhorsebrat,PRO,SLE,-24,SLH,-14,-38,30,12,7,6165,48201,48202,
6,1,Neo Impossible,ELITE,SLE,-26,SLH,-11,-37,32,14,6,1205,48237,48238,
6,1,Spicy - DawnSophia,ELITE,SLE,-23,SLH,-14,-37,32,14,6,7165,48215,48216,
6,1,UroPa,AMA,SLE,-24,SLH,-13,-37,32,5,6,302,48225,48226,
6,1,awesome_kris,SEMI,SLE,-26,SLH,-10,-36,35,2,6,7207,48157,48158,
6,1,StoneyMan69,SEMI,SLE,-24,SLH,-12,-36,35,2,6,7166,48197,48198,
6,1,FROGMAN,AMA,SLE,-24,SLH,-11,-35,37,6,5,7388,48145,48146,
6,1,Jennem,PRO,SLE,-16,SLH,-19,-35,37,14,5,104,48175,48176,
6,1,KnockoutG 🥊,PRO,SLE,-18,SLH,-17,-35,37,14,5,3237,48199,48200,
6,1,mammothrept,PRO,SLE,-18,SLH,-16,-34,40,16,5,5645,48097,48098,
6,1,LLABB23_LISA,AMA,SLE,-21,SLH,-11,-32,41,7,5,7188,48211,48212,
6,1,sarahloo1971,PRO,SLE,-25,SLH,-7,-32,41,17,5,63,48135,48136,
6,1,Slabdaddy,SEMI,SLE,-21,SLH,-11,-32,41,4,5,7267,48223,48224,
6,1,Sparebullet,AMA,SLE,-23,SLH,-9,-32,41,7,5,6912,48115,48116,
6,1,StevieWonderful,AMA,SLE,-19,SLH,-13,-32,41,7,5,7428,48111,48112,
6,1,DMD-Enditnow,SEMI,SLE,-19,SLH,-11,-30,46,5,4,7175,48229,48230,
6,1,DOMEY,AMA,SLE,-18,SLH,-11,-29,47,10,4,164,48171,48172,
6,1,Master_KP,PRO,SLE,-19,SLH,-10,-29,47,18,4,7169,48203,48204,
6,1,RYANL503,AMA,SLE,-20,SLH,-9,-29,47,10,4,7174,48155,48156,
6,1,Dandnt65,AMA,SLE,-21,SLH,-7,-28,50,12,3,362,48139,48140,
6,1,RUBBERDUCK,AMA,SLE,-19,SLH,-8,-27,51,13,3,7182,48195,48196,
6,1,olle,AMA,SLE,-17,SLH,-9,-26,52,14,3,3745,48093,48094,
6,1,SerenityMoon,PRO,SLE,-18,SLH,-8,-26,52,19,3,244,48173,48174,
