season,week,player,historicalRank,easyCode,easyScore,hardCode,hardScore,total,placement,divisionPlacement,points,sourcePlayerId,easyRoundId,hardRoundId,discordId
12,3,leanin2it,ELITE,AME,-29,AMH,-23,-52,1,1,25,6950,60215,60216,
12,3,bigja33,ELITE,AME,-28,AMH,-23,-51,2,2,21,4305,60111,60112,
12,3,𝙹𝚞𝚕𝚒𝚊𝚗,ELITE,AME,-27,AMH,-23,-50,3,3,18,6745,60239,60240,
12,3,gomarino13,ELITE,AME,-25,AMH,-23,-48,4,4,16,7171,60259,60260,
12,3,INDY,ELITE,AME,-28,AMH,-20,-48,4,4,16,22,60305,60306,
12,3,Mully,ELITE,AME,-28,AMH,-20,-48,4,4,16,88,60271,60272,
12,3,YUK1N,ELITE,AME,-27,AMH,-21,-48,4,4,16,31,60173,60174,
12,3,sarahloo1971,PRO,AME,-26,AMH,-21,-47,8,1,12,63,60299,60300,
12,3,Zanetti,ELITE,AME,-27,AMH,-20,-47,8,8,12,28,60247,60248,
12,3,Chipnputt,PRO,AME,-27,AMH,-19,-46,10,2,10,7172,60075,60076,
12,3,Duckk,ELITE,AME,-25,AMH,-21,-46,10,9,10,421,60193,60194,
12,3,Gobson,ELITE,AME,-25,AMH,-21,-46,10,9,10,4645,60219,60220,
12,3,gopats37,ELITE,AME,-25,AMH,-21,-46,10,9,10,101,60055,60056,
12,3,Blutes87,ELITE,AME,-23,AMH,-22,-45,14,12,9,41,60291,60292,
12,3,DABIGWILLO,PRO,AME,-22,AMH,-22,-44,15,3,9,3506,60295,60296,
12,3,Maximus,ELITE,AME,-24,AMH,-20,-44,15,13,9,7177,60113,60114,
12,3,Slabdaddy,SEMI,AME,-25,AMH,-19,-44,15,1,9,7267,60263,60264,
12,3,plucky✌,PRO,AME,-23,AMH,-20,-43,18,4,9,1108,60269,60270,
12,3,stewiestewie,PRO,AME,-25,AMH,-18,-43,18,4,9,36,60227,60228,
12,3,D3bb13,PRO,AME,-22,AMH,-20,-42,20,6,8,72,60091,60092,
12,3,deebee,PRO,AME,-23,AMH,-19,-42,20,6,8,65,60199,60200,
12,3,Laurent🇧🇪,PRO,AME,-25,AMH,-17,-42,20,6,8,4186,60051,60052,
12,3,TrickyDicky,PRO,AME,-26,AMH,-16,-42,20,6,8,59,60223,60224,
12,3,Alyssa38,SEMI,AME,-23,AMH,-18,-41,24,2,8,7184,60211,60212,
12,3,El Jorge,ELITE,AME,-24,AMH,-17,-41,24,14,8,24,60303,60304,
12,3,Lake,PRO,AME,-26,AMH,-14,-40,26,10,7,117,60217,60218,
12,3,Matt916,PRO,AME,-20,AMH,-20,-40,26,10,7,32,60253,60254,
12,3,Derby_Daz,ELITE,AME,-28,AMH,-11,-39,28,15,7,54,60151,60152,
12,3,DJTwigg,SEMI,AME,-25,AMH,-13,-38,29,3,7,7185,60241,60242,
12,3,Jennem,PRO,AME,-25,AMH,-13,-38,29,12,7,104,60231,60232,
12,3,Larryr,PRO,AME,-18,AMH,-20,-38,29,12,7,7968,60261,60262,
12,3,Gatorsfan89,SEMI,AME,-24,AMH,-13,-37,32,4,6,8828,60275,60276,
12,3,yankeedude1123,ELITE,AME,-23,AMH,-14,-37,32,16,6,4927,60131,60132,
12,3,NuttyGrandpa,SEMI,AME,-24,AMH,-12,-36,34,5,6,93,60293,60294,
12,3,Princess_Bankshot,ELITE,AME,-21,AMH,-15,-36,34,17,6,4945,60225,60226,
12,3,awesome_kris,SEMI,AME,-22,AMH,-13,-35,36,6,5,7207,60229,60230,
12,3,Neo Impossible,ELITE,AME,-20,AMH,-15,-35,36,18,5,1205,60273,60274,
12,3,KnockoutG 🥊,PRO,AME,-27,AMH,-7,-34,38,14,5,3237,60251,60252,
12,3,lynniebodd,SEMI,AME,-24,AMH,-10,-34,38,7,5,222,60213,60214,
12,3,Shaggy960,SEMI,AME,-18,AMH,-16,-34,38,7,5,9048,60171,60172,
12,3,indianchief,SEMI,AME,-16,AMH,-17,-33,41,9,4,120,60053,60054,
12,3,PaulV-PPP 🇨🇦,PRO,AME,-20,AMH,-13,-33,41,15,4,7183,60277,60278,
12,3,The Real JB,PRO,AME,-19,AMH,-14,-33,41,15,4,8708,60267,60268,
12,3,Kd,AMA,AME,-23,AMH,-8,-31,44,1,4,8188,60233,60234,
12,3,roknhorsebrat,PRO,AME,-16,AMH,-15,-31,44,17,4,6165,60301,60302,
12,3,StoneyMan69,SEMI,AME,-24,AMH,-7,-31,44,10,4,7166,60197,60198,
12,3,Chelle💯,SEMI,AME,-24,AMH,-6,-30,47,11,3,7186,60307,60308,
12,3,DMD-Enditnow,SEMI,AME,-18,AMH,-12,-30,47,11,3,7175,60245,60246,
12,3,SlugJug33,SEMI,AME,-22,AMH,-7,-29,49,13,3,8788,60073,60074,
12,3,GripRip,SEMI,AME,-17,AMH,-11,-28,50,14,3,7328,60243,60244,
12,3,mammothrept,PRO,AME,-23,AMH,-5,-28,50,18,3,5645,60297,60298,
12,3,Raccoons Whisker,SEMI,AME,-22,AMH,-6,-28,50,14,3,8268,60237,60238,
12,3,Audrey,AMA,AME,-16,AMH,-11,-27,53,2,2,8608,60235,60236,
12,3,SerenityMoon,PRO,AME,-22,AMH,-4,-26,54,19,2,244,60265,60266,
12,3,Spicy - DawnSophia,ELITE,AME,-22,AMH,-4,-26,54,19,2,7165,60255,60256,
12,3,KillERBee,AMA,AME,-17,AMH,-7,-24,56,3,2,7173,60077,60078,
12,3,Ultrafox_Lynne,AMA,AME,-15,AMH,-7,-22,57,4,1,7229,60221,60222,
12,3,Nic79,SEMI,AME,-18,AMH,-3,-21,58,16,1,7176,60249,60250,
12,3,ZoeDarlin,SEMI,AME,-19,AMH,1,-18,59,17,1,8448,60071,60072,
12,3,WendyW(Wyndemere2020),AMA,AME,-13,AMH,2,-11,60,5,1,7231,60195,60196,
12,3,Woofmaster521 (Kathy),AMA,AME,-12,AMH,4,-8,61,6,1,8390,60191,60192,
12,3,Heisenberg,AMA,AME,-11,AMH,11,0,62,7,1,8388,60257,60258,
