season,week,player,historicalRank,easyCode,easyScore,hardCode,hardScore,total,placement,divisionPlacement,points,sourcePlayerId,easyRoundId,hardRoundId,discordId
7,7,yankeedude1123,ELITE,EDE,-26,EDH,-17,-43,1,1,25,4927,50933,50937,
7,7,Mully,ELITE,EDE,-22,EDH,-20,-42,2,2,21,88,50791,50793,
7,7,Chicagobry,AMA,EDE,-18,EDH,-21,-39,3,1,18,7125,50975,50978,
7,7,INDY,ELITE,EDE,-22,EDH,-17,-39,3,3,18,22,50896,50897,
7,7,Neo Impossible,ELITE,EDE,-22,EDH,-16,-38,5,4,15,1205,50969,50972,
7,7,DABIGWILLO,PRO,EDE,-19,EDH,-18,-37,6,1,14,3506,50861,50874,
7,7,Gobson,ELITE,EDE,-25,EDH,-12,-37,6,5,14,4645,50948,50953,
7,7,bigja33,ELITE,EDE,-20,EDH,-16,-36,8,6,12,4305,50811,50833,
7,7,Zanetti,ELITE,EDE,-24,EDH,-12,-36,8,6,12,28,50862,50872,
7,7,Derby_Daz,ELITE,EDE,-19,EDH,-16,-35,10,8,10,54,50860,50858,
7,7,Duckk,ELITE,EDE,-23,EDH,-12,-35,10,8,10,421,50775,50777,
7,7,Browner,PRO,EDE,-18,EDH,-16,-34,12,2,9,42,50892,50894,
7,7,Chipnputt,PRO,EDE,-21,EDH,-13,-34,12,2,9,7172,50924,50925,
7,7,El Jorge,ELITE,EDE,-21,EDH,-13,-34,12,10,9,24,50895,50898,
7,7,olle,AMA,EDE,-21,EDH,-13,-34,12,2,9,3745,50771,50773,
7,7,sarahloo1971,PRO,EDE,-22,EDH,-11,-33,16,4,9,63,50831,50835,
7,7,YUK1N,ELITE,EDE,-15,EDH,-18,-33,16,11,9,31,50863,50871,
7,7,Matt916,PRO,EDE,-20,EDH,-12,-32,18,5,8,32,50928,50930,
7,7,D3bb13,PRO,EDE,-17,EDH,-13,-30,19,6,8,72,50932,50936,
7,7,leanin2it,ELITE,EDE,-22,EDH,-8,-30,19,12,8,6950,50947,50952,
7,7,Luke.warm.dog.water,AMA,EDE,-15,EDH,-15,-30,19,3,8,7969,50963,50967,
7,7,stewiestewie,PRO,EDE,-19,EDH,-11,-30,19,6,8,36,50908,50910,
7,7,ARTSY,SEMI,EDE,-18,EDH,-10,-28,23,1,8,7610,50940,50944,
7,7,gomarino13,ELITE,EDE,-18,EDH,-10,-28,23,13,8,7171,50961,50965,
7,7,KCRob,PRO,EDE,-19,EDH,-9,-28,23,8,8,49,50934,50938,
7,7,Calassy,AMA,EDE,-18,EDH,-9,-27,26,4,7,33,50970,50973,
7,7,Captain,PRO,EDE,-19,EDH,-8,-27,26,9,7,57,50852,50855,
7,7,TrickyDicky,PRO,EDE,-19,EDH,-8,-27,26,9,7,59,50907,50909,
7,7,WickedShack🇩🇪,PRO,EDE,-18,EDH,-9,-27,26,9,7,102,50950,50955,
7,7,Larryr,PRO,EDE,-19,EDH,-7,-26,30,12,6,7968,50962,50966,
7,7,NuttyGrandpa,SEMI,EDE,-19,EDH,-7,-26,30,2,6,93,50923,50926,
7,7,PaulV-PPP 🇨🇦,PRO,EDE,-14,EDH,-11,-25,32,13,6,7183,50976,50979,
7,7,Princess_Bankshot,ELITE,EDE,-11,EDH,-14,-25,32,14,6,4945,50891,50893,
7,7,roknhorsebrat,PRO,EDE,-12,EDH,-13,-25,32,13,6,6165,50942,50946,
7,7,Slappy,PRO,EDE,-21,EDH,-4,-25,32,13,6,1705,50913,50917,
7,7,TIGERHOODS,PRO,EDE,-21,EDH,-4,-25,32,13,6,60,50792,50794,
7,7,Jennem,PRO,EDE,-16,EDH,-7,-23,37,17,5,104,50914,50918,
7,7,Laurent🇧🇪,PRO,EDE,-14,EDH,-9,-23,37,17,5,4186,50859,50857,
7,7,Maximus,ELITE,EDE,-17,EDH,-6,-23,37,15,5,7177,50864,50873,
7,7,lynniebodd,SEMI,EDE,-21,EDH,-1,-22,40,3,5,222,50899,50900,
7,7,awesome_kris,SEMI,EDE,-18,EDH,-3,-21,41,4,4,7207,50912,50916,
7,7,GuyB22,SEMI,EDE,-18,EDH,-2,-20,42,5,4,4866,50927,50929,
7,7,KnockoutG 🥊,PRO,EDE,-17,EDH,-3,-20,42,19,4,3237,50941,50945,
7,7,l7jazz,PRO,EDE,-16,EDH,-4,-20,42,19,4,7908,50772,50774,
7,7,Alyssa38,SEMI,EDE,-12,EDH,-7,-19,45,6,4,7184,50832,50836,
7,7,Slabdaddy,SEMI,EDE,-10,EDH,-9,-19,45,6,4,7267,50964,50968,
7,7,mammothrept,PRO,EDE,-11,EDH,-6,-17,47,21,3,5645,50853,50856,
7,7,Savy,AMA,EDE,-16,EDH,-1,-17,47,5,3,6970,50971,50974,
7,7,DMD-Enditnow,SEMI,EDE,-14,EDH,-2,-16,49,8,3,7175,50931,50935,
7,7,plucky✌,PRO,EDE,-9,EDH,-7,-16,49,22,3,1108,50901,50902,
7,7,Alisha0068,AMA,EDE,-11,EDH,-4,-15,51,6,3,7569,50903,50905,
7,7,BadWolff🐺,PRO,EDE,-11,EDH,-2,-13,52,23,2,6947,50951,50956,
7,7,StoneyMan69,SEMI,EDE,-15,EDH,2,-13,52,9,2,7166,50851,50854,
7,7,Spicy - DawnSophia,ELITE,EDE,-14,EDH,2,-12,54,16,2,7165,50949,50954,
7,7,Jaynice,AMA,EDE,-11,EDH,0,-11,55,7,2,7868,50957,50959,
7,7,SerenityMoon,PRO,EDE,-10,EDH,0,-10,56,24,2,244,50911,50915,
7,7,Missi,AMA,EDE,-7,EDH,-2,-9,57,8,2,322,50939,50943,
7,7,KillERBee,AMA,EDE,-13,EDH,6,-7,58,9,1,7173,50920,50922,
7,7,DJTwigg,SEMI,EDE,-15,EDH,9,-6,59,10,1,7185,50776,50778,
7,7,Sandtrap,AMA,EDE,-5,EDH,0,-5,60,10,1,7167,50904,50906,
7,7,Sj_76,AMA,EDE,-9,EDH,4,-5,60,10,1,129,50958,50960,
7,7,GripRip,SEMI,EDE,-5,EDH,6,1,62,11,1,7328,50812,50834,
7,7,Ultrafox_Lynne,AMA,EDE,3,EDH,4,7,63,12,1,7229,50919,50921,
