season,week,player,historicalRank,easyCode,easyScore,hardCode,hardScore,total,placement,divisionPlacement,points,sourcePlayerId,easyRoundId,hardRoundId,discordId
5,6,𝙹𝚞𝚕𝚒𝚊𝚗,ELITE,20E,-26,20H,-24,-50,1,1,25,6745,47149,47150,
5,6,bigja33,ELITE,20E,-24,20H,-21,-45,2,2,21,4305,47077,47078,
5,6,DABIGWILLO,PRO,20E,-24,20H,-19,-43,3,1,18,3506,47079,47080,
5,6,Matt916,PRO,20E,-22,20H,-19,-41,4,2,16,32,47179,47180,
5,6,Slabdaddy,SEMI,20E,-21,20H,-18,-39,5,1,15,7267,47165,47166,
5,6,TrickyDicky,PRO,20E,-24,20H,-15,-39,5,3,15,59,47143,47144,
5,6,JTVC,AMA,20E,-22,20H,-16,-38,7,1,13,6867,47183,47184,
5,6,leanin2it,ELITE,20E,-19,20H,-18,-37,8,3,12,6950,47107,47108,
5,6,Gobson,ELITE,20E,-20,20H,-16,-36,9,4,11,4645,47097,47098,
5,6,JUICE_WRLD,AMA,20E,-19,20H,-17,-36,9,2,11,7508,47151,47152,
5,6,spiral37,AMA,20E,-18,20H,-18,-36,9,2,11,4087,47057,47058,
5,6,YUK1N,ELITE,20E,-18,20H,-17,-35,12,5,9,31,47101,47102,
5,6,CRAZYHORSE,AMA,20E,-15,20H,-19,-34,13,4,9,7181,47081,47082,
5,6,deebee,PRO,20E,-19,20H,-15,-34,13,4,9,65,47155,47156,
5,6,Slappy,PRO,20E,-17,20H,-17,-34,13,4,9,1705,47103,47104,
5,6,Spicy - DawnSophia,ELITE,20E,-17,20H,-17,-34,13,6,9,7165,47109,47110,
5,6,El Jorge,ELITE,20E,-19,20H,-14,-33,17,7,9,24,47091,47092,
5,6,Jennem,PRO,20E,-19,20H,-14,-33,17,6,9,104,47137,47138,
5,6,stewiestewie,PRO,20E,-17,20H,-16,-33,17,6,9,36,47139,47140,
5,6,WickedShack🇩🇪,PRO,20E,-17,20H,-16,-33,17,6,9,102,47083,47084,
5,6,ZONK,AMA,20E,-23,20H,-10,-33,17,5,9,3826,47185,47186,
5,6,AmberWave,AMA,20E,-18,20H,-13,-31,22,6,8,91,47059,47060,
5,6,SQUEEZY_JIBBZ,PRO,20E,-21,20H,-10,-31,22,9,8,46,47193,47194,
5,6,Brit_The_Elder,AMA,20E,-22,20H,-8,-30,24,7,7,109,47085,47086,
5,6,Captain,PRO,20E,-15,20H,-15,-30,24,10,7,57,47089,47090,
