season,week,player,historicalRank,easyCode,easyScore,hardCode,hardScore,total,placement,divisionPlacement,points,sourcePlayerId,easyRoundId,hardRoundId,discordId
10,4,INDY,ELITE,GBE,-27,GBH,-22,-49,1,1,25,22,55729,55731,
10,4,Gobson,ELITE,GBE,-25,GBH,-20,-45,2,2,21,4645,55695,55698,
10,4,Zanetti,ELITE,GBE,-27,GBH,-18,-45,2,2,21,28,55631,55634,
10,4,El Jorge,ELITE,GBE,-26,GBH,-17,-43,4,4,16,24,55728,55730,
10,4,YUK1N,ELITE,GBE,-23,GBH,-20,-43,4,4,16,31,55691,55693,
10,4,Blutes87,ELITE,GBE,-26,GBH,-16,-42,6,6,14,41,55715,55717,
10,4,DABIGWILLO,PRO,GBE,-26,GBH,-15,-41,7,1,13,3506,55682,55677,
10,4,gomarino13,ELITE,GBE,-22,GBH,-19,-41,7,7,13,7171,55736,55739,
10,4,Maximus,ELITE,GBE,-23,GBH,-17,-40,9,8,11,7177,55681,55679,
10,4,PaulV-PPP 🇨🇦,PRO,GBE,-22,GBH,-17,-39,10,2,10,7183,55753,55756,
10,4,bigja33,ELITE,GBE,-25,GBH,-13,-38,11,9,9,4305,55660,55662,
10,4,Mully,ELITE,GBE,-19,GBH,-19,-38,11,9,9,88,55750,55752,
10,4,TrickyDicky,PRO,GBE,-23,GBH,-14,-37,13,3,9,59,55703,55705,
10,4,Larryr,PRO,GBE,-20,GBH,-16,-36,14,4,9,7968,55738,55741,
10,4,Neo Impossible,ELITE,GBE,-21,GBH,-15,-36,14,11,9,1205,55749,55751,
10,4,Princess_Bankshot,ELITE,GBE,-22,GBH,-14,-36,14,11,9,4945,55704,55706,
10,4,KCRob,PRO,GBE,-25,GBH,-9,-34,17,5,8,49,55700,55702,
10,4,Laurent🇧🇪,PRO,GBE,-20,GBH,-13,-33,18,6,8,4186,55633,55636,
10,4,yankeedude1123,ELITE,GBE,-25,GBH,-8,-33,18,13,8,4927,55652,55657,
10,4,Chipnputt,PRO,GBE,-14,GBH,-18,-32,20,7,8,7172,55638,55643,
10,4,Earthling,SEMI,GBE,-16,GBH,-15,-31,21,1,8,230,55655,55656,
10,4,mammothrept,PRO,GBE,-22,GBH,-9,-31,21,8,8,5645,55683,55676,
10,4,NuttyGrandpa,SEMI,GBE,-18,GBH,-12,-30,23,2,7,93,55639,55642,
10,4,WickedShack🇩🇪,PRO,GBE,-17,GBH,-12,-29,24,9,7,102,55654,55659,
10,4,hhaus,AMA,GBE,-19,GBH,-9,-28,25,1,7,8688,55762,55761,
10,4,SerenityMoon,PRO,GBE,-17,GBH,-11,-28,25,10,7,244,55670,55668,
10,4,lynniebodd,SEMI,GBE,-18,GBH,-8,-26,27,3,7,222,55644,55648,
10,4,plucky✌,PRO,GBE,-20,GBH,-6,-26,27,11,7,1108,55742,55745,
10,4,roknhorsebrat,PRO,GBE,-18,GBH,-8,-26,27,11,7,6165,55721,55724,
10,4,StoneyMan69,SEMI,GBE,-21,GBH,-5,-26,27,3,7,7166,55653,55658,
10,4,sarahloo1971,PRO,GBE,-15,GBH,-10,-25,31,13,6,63,55647,55651,
10,4,D3bb13,PRO,GBE,-21,GBH,-3,-24,32,14,6,72,55696,55697,
10,4,DESERT_RAT,SEMI,GBE,-22,GBH,-2,-24,32,5,6,7180,55716,55718,
10,4,DontQuitWhenLosing,PRO,GBE,-15,GBH,-9,-24,32,14,6,6951,55661,55663,
10,4,Shooter_McGavin,ELITE,GBE,-17,GBH,-7,-24,32,14,6,8648,55665,55667,
10,4,Alyssa38,SEMI,GBE,-16,GBH,-7,-23,36,6,5,7184,55645,55649,
10,4,Fry_Lock,SEMI,GBE,-16,GBH,-7,-23,36,6,5,8008,55672,55674,
10,4,indianchief,SEMI,GBE,-15,GBH,-8,-23,36,6,5,120,55632,55635,
10,4,peach🌻,PRO,GBE,-14,GBH,-9,-23,36,16,5,77,55713,55714,
10,4,Savy,AMA,GBE,-18,GBH,-5,-23,36,2,5,6970,55748,55760,
