season,week,player,historicalRank,easyCode,easyScore,hardCode,hardScore,total,placement,divisionPlacement,points,sourcePlayerId,easyRoundId,hardRoundId,discordId
5,4,𝙹𝚞𝚕𝚒𝚊𝚗,ELITE,OGE,-19,OGH,-22,-41,1,1,25,6745,46695,46696,
5,4,Captain,PRO,OGE,-21,OGH,-19,-40,2,1,21,57,46839,46840,
5,4,stewiestewie,PRO,OGE,-20,OGH,-20,-40,2,1,21,36,46791,46792,
5,4,DABIGWILLO,PRO,OGE,-19,OGH,-20,-39,4,3,16,3506,46817,46818,
5,4,JTVC,AMA,OGE,-21,OGH,-18,-39,4,1,16,6867,46777,46778,
5,4,yankeedude1123,ELITE,OGE,-20,OGH,-18,-38,6,2,14,4927,46741,46742,
5,4,bigja33,ELITE,OGE,-18,OGH,-19,-37,7,3,13,4305,46749,46750,
5,4,JUICE_WRLD,AMA,OGE,-17,OGH,-20,-37,7,2,13,7508,46865,46866,
5,4,leanin2it,ELITE,OGE,-21,OGH,-16,-37,7,3,13,6950,46729,46730,
5,4,Matt916,PRO,OGE,-19,OGH,-18,-37,7,4,13,32,46857,46858,
5,4,Mully,ELITE,OGE,-15,OGH,-21,-36,11,5,9,88,46717,46718,
5,4,El Jorge,ELITE,OGE,-19,OGH,-16,-35,12,6,9,24,46715,46716,
5,4,moba,AMA,OGE,-20,OGH,-15,-35,12,3,9,4166,46745,46746,
5,4,Princess_Bankshot,ELITE,OGE,-17,OGH,-18,-35,12,6,9,4945,46873,46874,
5,4,UroPa,AMA,OGE,-19,OGH,-16,-35,12,3,9,302,46861,46862,
5,4,ZONK,AMA,OGE,-20,OGH,-15,-35,12,3,9,3826,46859,46860,
5,4,Metum,ELITE,OGE,-19,OGH,-15,-34,17,8,9,6625,46867,46868,
5,4,Neo Impossible,ELITE,OGE,-18,OGH,-16,-34,17,8,9,1205,46855,46856,
5,4,onesilygrl,AMA,OGE,-18,OGH,-16,-34,17,6,9,7145,46833,46834,
5,4,AmberWave,AMA,OGE,-19,OGH,-14,-33,20,7,8,91,46701,46702,
5,4,Awkward3Sauce,SEMI,OGE,-16,OGH,-17,-33,20,1,8,125,46813,46814,
5,4,D3bb13,PRO,OGE,-17,OGH,-16,-33,20,5,8,72,46699,46700,
5,4,NuttyGrandpa,SEMI,OGE,-19,OGH,-14,-33,20,1,8,93,46711,46712,
5,4,sarahloo1971,PRO,OGE,-17,OGH,-16,-33,20,5,8,63,46733,46734,
5,4,gomarino13,ELITE,OGE,-17,OGH,-15,-32,25,10,7,7171,46851,46852,
5,4,Maximus,ELITE,OGE,-18,OGH,-14,-32,25,10,7,7177,46725,46726,
