season,week,player,historicalRank,easyCode,easyScore,hardCode,hardScore,total,placement,divisionPlacement,points,sourcePlayerId,easyRoundId,hardRoundId,discordId
4,6,JTVC,AMA,CBE,-28,CBH,-23,-51,1,1,25,6867,44601,44662,
4,6,bigja33,ELITE,CBE,-26,CBH,-21,-47,2,1,21,4305,44603,44664,
4,6,leanin2it,ELITE,CBE,-29,CBH,-18,-47,2,1,21,6950,44602,44663,
4,6,El Jorge,ELITE,CBE,-26,CBH,-19,-45,4,3,16,24,44605,44666,
4,6,moba,AMA,CBE,-25,CBH,-20,-45,4,2,16,4166,44604,44665,
4,6,YUK1N,ELITE,CBE,-24,CBH,-21,-45,4,3,16,31,44606,44667,
4,6,gomarino13,ELITE,CBE,-24,CBH,-20,-44,7,5,13,7171,44607,44668,
4,6,D3bb13,PRO,CBE,-23,CBH,-20,-43,8,1,12,72,44610,44671,
4,6,Mully,ELITE,CBE,-23,CBH,-20,-43,8,6,12,88,44608,44669,
4,6,Spicy - DawnSophia,ELITE,CBE,-24,CBH,-19,-43,8,6,12,7165,44609,44670,
4,6,BadWolff🐺,PRO,CBE,-27,CBH,-15,-42,11,2,9,6947,44611,44672,
4,6,Maximus,ELITE,CBE,-28,CBH,-14,-42,11,8,9,7177,44612,44673,
4,6,Awkward3Sauce,SEMI,CBE,-26,CBH,-15,-41,13,1,9,125,44614,44675,
4,6,Neo Impossible,ELITE,CBE,-25,CBH,-16,-41,13,9,9,1205,44615,44676,
4,6,sarahloo1971,PRO,CBE,-27,CBH,-14,-41,13,3,9,63,44616,44677,
4,6,StrokeLimitReached,SEMI,CBE,-26,CBH,-15,-41,13,1,9,47,44613,44674,
4,6,AmberWave,AMA,CBE,-23,CBH,-17,-40,17,3,8,91,44617,44678,
4,6,halfpint,AMA,CBE,-20,CBH,-19,-39,18,4,8,92,44618,44679,
4,6,DeathByZeth,AMA,CBE,-22,CBH,-16,-38,19,5,8,4865,44621,44682,
4,6,Grezza,AMA,CBE,-26,CBH,-12,-38,19,5,8,106,44620,44681,
4,6,KCRob,PRO,CBE,-24,CBH,-14,-38,19,4,8,49,44619,44680,
4,6,Brit_The_Elder,AMA,CBE,-24,CBH,-13,-37,22,7,8,109,44624,44685,
4,6,Chipnputt,PRO,CBE,-22,CBH,-15,-37,22,5,8,7172,44623,44684,
4,6,MrDachshund81,SEMI,CBE,-22,CBH,-15,-37,22,3,8,5425,44622,44683,
4,6,UroPa,AMA,CBE,-23,CBH,-14,-37,22,7,8,302,44625,44686,
4,6,awesome_kris,SEMI,CBE,-25,CBH,-11,-36,26,4,7,7207,44627,44688,
4,6,Duckk,ELITE,CBE,-22,CBH,-14,-36,26,10,7,421,44626,44687,
4,6,DOMEY,AMA,CBE,-19,CBH,-16,-35,28,9,6,164,44628,44689,
4,6,Slappy,PRO,CBE,-22,CBH,-12,-34,29,6,6,1705,44630,44691,
4,6,spiral37,AMA,CBE,-25,CBH,-9,-34,29,10,6,4087,44629,44690,
4,6,ALLIGATOR65,AMA,CBE,-22,CBH,-11,-33,31,11,6,7227,44632,44693,
4,6,DABIGWILLO,PRO,CBE,-24,CBH,-9,-33,31,7,6,3506,44631,44692,
4,6,DontQuitWhenLosing,PRO,CBE,-17,CBH,-15,-32,33,8,6,6951,44636,44697,
4,6,Master_KP,PRO,CBE,-23,CBH,-9,-32,33,8,6,7169,44635,44696,
4,6,olle,AMA,CBE,-17,CBH,-15,-32,33,12,6,3745,44634,44695,
4,6,PaulV-PPP 🇨🇦,PRO,CBE,-18,CBH,-14,-32,33,8,6,7183,44637,44698,
4,6,stewiestewie,PRO,CBE,-24,CBH,-8,-32,33,8,6,36,44633,44694,
4,6,NuttyGrandpa,SEMI,CBE,-22,CBH,-9,-31,38,5,5,93,44639,44700,
4,6,Princess_Bankshot,ELITE,CBE,-22,CBH,-9,-31,38,11,5,4945,44638,44699,
4,6,Savy,AMA,CBE,-18,CBH,-12,-30,40,13,4,6970,44640,44701,
4,6,freitag68,AMA,CBE,-18,CBH,-9,-27,41,14,4,2505,44644,44705,
4,6,Sj_76,AMA,CBE,-19,CBH,-8,-27,41,14,4,129,44642,44703,
4,6,SQUEEZY_JIBBZ,PRO,CBE,-20,CBH,-7,-27,41,12,4,46,44643,44704,
4,6,ZONK,AMA,CBE,-24,CBH,-3,-27,41,14,4,3826,44641,44702,
4,6,roknhorsebrat,PRO,CBE,-20,CBH,-6,-26,45,13,3,6165,44645,44706,
