season,week,player,historicalRank,easyCode,easyScore,hardCode,hardScore,total,placement,divisionPlacement,points,sourcePlayerId,easyRoundId,hardRoundId,discordId
11,11,𝙹𝚞𝚕𝚒𝚊𝚗,ELITE,WWE,-29,WWH,-21,-50,1,1,25,6745,59303,59306,
11,11,bigja33,ELITE,WWE,-26,WWH,-22,-48,2,2,21,4305,59278,59282,
11,11,El Jorge,ELITE,WWE,-27,WWH,-21,-48,2,2,21,24,59368,59370,
11,11,plucky✌,PRO,WWE,-26,WWH,-17,-43,4,1,16,1108,59362,59366,
11,11,Maximus,ELITE,WWE,-24,WWH,-18,-42,5,4,15,7177,59276,59280,
11,11,Zanetti,ELITE,WWE,-24,WWH,-18,-42,5,4,15,28,59297,59299,
11,11,Gobson,ELITE,WWE,-22,WWH,-18,-40,7,6,13,4645,59302,59305,
11,11,INDY,ELITE,WWE,-23,WWH,-17,-40,7,6,13,22,59369,59371,
11,11,Mully,ELITE,WWE,-23,WWH,-17,-40,7,6,13,88,59361,59365,
11,11,Princess_Bankshot,ELITE,WWE,-19,WWH,-20,-39,10,9,10,4945,59291,59294,
11,11,gomarino13,ELITE,WWE,-26,WWH,-11,-37,11,10,9,7171,59355,59357,
11,11,StrokeLimitReached,SEMI,WWE,-22,WWH,-15,-37,11,1,9,47,59367,59372,
11,11,Laurent🇧🇪,PRO,WWE,-23,WWH,-12,-35,13,2,9,4186,59272,59274,
11,11,Slappy,PRO,WWE,-24,WWH,-11,-35,13,2,9,1705,59271,59273,
11,11,PaulV-PPP 🇨🇦,PRO,WWE,-23,WWH,-11,-34,15,4,9,7183,59298,59300,
11,11,yankeedude1123,ELITE,WWE,-23,WWH,-10,-33,16,11,8,4927,59339,59342,
11,11,DABIGWILLO,PRO,WWE,-21,WWH,-11,-32,17,5,8,3506,59275,59279,
11,11,deebee,PRO,WWE,-21,WWH,-11,-32,17,5,8,65,59289,59290,
11,11,Master_KP,PRO,WWE,-19,WWH,-13,-32,17,5,8,7169,59391,59392,
11,11,lynniebodd,SEMI,WWE,-18,WWH,-12,-30,20,2,7,222,59285,59288,
11,11,stewiestewie,PRO,WWE,-18,WWH,-11,-29,21,8,7,36,59292,59295,
11,11,Gatorsfan89,SEMI,WWE,-13,WWH,-14,-27,22,3,7,8828,59360,59364,
11,11,TrickyDicky,PRO,WWE,-25,WWH,-2,-27,22,9,7,59,59293,59296,
11,11,KnockoutG 🥊,PRO,WWE,-17,WWH,-9,-26,24,10,6,3237,59346,59349,
11,11,StoneyMan69,SEMI,WWE,-22,WWH,-4,-26,24,4,6,7166,59301,59304,
11,11,Alyssa38,SEMI,WWE,-15,WWH,-10,-25,26,5,6,7184,59284,59287,
11,11,D3bb13,PRO,WWE,-17,WWH,-8,-25,26,11,6,72,59374,59376,
11,11,roknhorsebrat,PRO,WWE,-16,WWH,-9,-25,26,11,6,6165,59347,59350,
11,11,sarahloo1971,PRO,WWE,-21,WWH,-4,-25,26,11,6,63,59283,59286,
11,11,Fry_Lock,SEMI,WWE,-22,WWH,-1,-23,30,6,5,8008,59393,59394,
11,11,Jennem,PRO,WWE,-16,WWH,-7,-23,30,14,5,104,59308,59311,
11,11,DBCQ,AMA,WWE,-15,WWH,-7,-22,32,1,5,7928,59345,59348,
11,11,SerenityMoon,PRO,WWE,-14,WWH,-8,-22,32,15,5,244,59307,59310,
11,11,Slabdaddy,SEMI,WWE,-17,WWH,-5,-22,32,7,5,7267,59356,59358,
11,11,Chipnputt,PRO,WWE,-15,WWH,-6,-21,35,16,4,7172,59332,59336,
11,11,indianchief,SEMI,WWE,-17,WWH,-4,-21,35,8,4,120,59373,59375,
11,11,WickedShack🇩🇪,PRO,WWE,-17,WWH,-4,-21,35,16,4,102,59352,59354,
11,11,The Real JB,PRO,WWE,-17,WWH,-3,-20,38,18,3,8708,59359,59363,
11,11,GripRip,SEMI,WWE,-11,WWH,-6,-17,39,9,3,7328,59316,59320,
11,11,NuttyGrandpa,SEMI,WWE,-11,WWH,-6,-17,39,9,3,93,59333,59337,
11,11,Ultrafox_Lynne,AMA,WWE,-10,WWH,-6,-16,41,2,3,7229,59334,59338,
11,11,awesome_kris,SEMI,WWE,-15,WWH,0,-15,42,11,2,7207,59309,59312,
11,11,Raccoons Whisker,SEMI,WWE,-9,WWH,-6,-15,42,11,2,8268,59314,59318,
11,11,DMD-Enditnow,SEMI,WWE,-15,WWH,2,-13,44,13,2,7175,59341,59344,
11,11,Kd,AMA,WWE,-12,WWH,1,-11,45,3,2,8188,59313,59317,
11,11,KillERBee,AMA,WWE,-11,WWH,0,-11,45,3,2,7173,59331,59335,
11,11,Audrey,AMA,WWE,-10,WWH,1,-9,47,5,1,8608,59315,59319,
11,11,WendyW(Wyndemere2020),AMA,WWE,-13,WWH,4,-9,47,5,1,7231,59351,59353,
11,11,Nic79,SEMI,WWE,-3,WWH,0,-3,49,14,1,7176,59340,59343,
11,11,JRT1976,AMA,WWE,-3,WWH,17,14,50,7,1,8988,59277,59281,
