season,week,player,historicalRank,easyCode,easyScore,hardCode,hardScore,total,placement,divisionPlacement,points,sourcePlayerId,easyRoundId,hardRoundId,discordId
4,4,ZONK,AMA,ATE,-23,ATH,-19,-42,1,1,25,3826,44977,45039,
4,4,stewiestewie,PRO,ATE,-23,ATH,-18,-41,2,1,21,36,44970,45032,
4,4,YUK1N,ELITE,ATE,-24,ATH,-16,-40,3,1,18,31,44976,45038,
4,4,DABIGWILLO,PRO,ATE,-26,ATH,-12,-38,4,2,16,3506,44960,45022,
4,4,MrDachshund81,SEMI,ATE,-23,ATH,-14,-37,5,1,15,5425,44953,45015,
4,4,Neo Impossible,ELITE,ATE,-20,ATH,-17,-37,5,2,15,1205,44955,45017,
4,4,JTVC,AMA,ATE,-22,ATH,-14,-36,7,2,13,6867,44945,45007,
4,4,freitag68,AMA,ATE,-21,ATH,-13,-34,8,3,12,2505,44965,45027,
4,4,halfpint,AMA,ATE,-20,ATH,-14,-34,8,3,12,92,44941,45003,
4,4,Princess_Bankshot,ELITE,ATE,-22,ATH,-12,-34,8,3,12,4945,44948,45010,
4,4,TrickyDicky,PRO,ATE,-26,ATH,-8,-34,8,3,12,59,44973,45035,
4,4,Duckk,ELITE,ATE,-22,ATH,-10,-32,12,4,9,421,44938,45000,
4,4,Mully,ELITE,ATE,-20,ATH,-12,-32,12,4,9,88,44954,45016,
4,4,Spicy - DawnSophia,ELITE,ATE,-23,ATH,-9,-32,12,4,9,7165,44929,44991,
4,4,StoneyMan69,SEMI,ATE,-17,ATH,-15,-32,12,2,9,7166,44971,45033,
4,4,awesome_kris,SEMI,ATE,-23,ATH,-8,-31,16,3,9,7207,44918,44980,
4,4,D3bb13,PRO,ATE,-21,ATH,-10,-31,16,4,9,72,44928,44990,
4,4,TIGERHOODS,PRO,ATE,-20,ATH,-11,-31,16,4,9,60,44972,45034,
4,4,Awkward3Sauce,SEMI,ATE,-15,ATH,-15,-30,19,4,8,125,44919,44981,
4,4,BadWolff🐺,PRO,ATE,-17,ATH,-13,-30,19,6,8,6947,44920,44982,
4,4,bigja33,ELITE,ATE,-21,ATH,-9,-30,19,7,8,4305,44921,44983,
4,4,deebee,PRO,ATE,-19,ATH,-11,-30,19,6,8,65,44932,44994,
4,4,moba,AMA,ATE,-20,ATH,-10,-30,19,5,8,4166,44952,45014,
4,4,ITS YOUR WOLD,AMA,ATE,-21,ATH,-8,-29,24,6,7,7233,44943,45005,
4,4,Jennem,PRO,ATE,-21,ATH,-8,-29,24,8,7,104,44944,45006,
4,4,DESERT_RAT,SEMI,ATE,-18,ATH,-10,-28,26,5,7,7180,44933,44995,
4,4,SQUEEZY_JIBBZ,PRO,ATE,-19,ATH,-9,-28,26,9,7,46,44969,45031,
4,4,DeathByZeth,AMA,ATE,-21,ATH,-6,-27,28,7,7,4865,44931,44993,
4,4,DontQuitWhenLosing,PRO,ATE,-18,ATH,-9,-27,28,10,7,6951,44937,44999,
4,4,SerenityMoon,PRO,ATE,-19,ATH,-8,-27,28,10,7,244,44964,45026,
4,4,Chicagobry,AMA,ATE,-18,ATH,-8,-26,31,8,6,7125,44926,44988,
4,4,WickedShack🇩🇪,PRO,ATE,-20,ATH,-6,-26,31,12,6,102,44975,45037,
4,4,ALLIGATOR65,AMA,ATE,-19,ATH,-6,-25,33,9,6,7227,44916,44978,
4,4,roknhorsebrat,PRO,ATE,-15,ATH,-10,-25,33,13,6,6165,44962,45024,
4,4,DMD-Enditnow,SEMI,ATE,-23,ATH,-1,-24,35,6,5,7175,44935,44997,
4,4,NuttyGrandpa,SEMI,ATE,-19,ATH,-5,-24,35,6,5,93,44957,45019,
4,4,spiral37,AMA,ATE,-16,ATH,-8,-24,35,10,5,4087,44968,45030,
4,4,DJTwigg,SEMI,ATE,-17,ATH,-6,-23,38,8,5,7185,44934,44996,
4,4,UroPa,AMA,ATE,-15,ATH,-8,-23,38,11,5,302,44974,45036,
4,4,El Jorge,ELITE,ATE,-18,ATH,-4,-22,40,8,4,24,44939,45001,
4,4,olle,AMA,ATE,-18,ATH,-4,-22,40,12,4,3745,44958,45020,
4,4,DOMEY,AMA,ATE,-14,ATH,-7,-21,42,13,4,164,44936,44998,
4,4,Grezza,AMA,ATE,-18,ATH,-3,-21,42,13,4,106,44940,45002,
4,4,lars,AMA,ATE,-17,ATH,-4,-21,42,13,4,3691,44949,45011,
4,4,Master_KP,PRO,ATE,-20,ATH,0,-20,45,14,4,7169,44951,45013,
4,4,Sparebullet,AMA,ATE,-17,ATH,-3,-20,45,16,4,6912,44967,45029,
4,4,LLABB23_LISA,AMA,ATE,-14,ATH,-4,-18,47,17,3,7188,44950,45012,
4,4,Chelle💯,SEMI,ATE,-16,ATH,-1,-17,48,9,3,7186,44924,44986,
4,4,ANDREWBARBER,AMA,ATE,-12,ATH,-4,-16,49,18,3,7168,44917,44979,
4,4,PaulV-PPP 🇨🇦,PRO,ATE,-16,ATH,1,-15,50,15,3,7183,44959,45021,
4,4,Savy,AMA,ATE,-15,ATH,0,-15,50,19,3,6970,44963,45025,
4,4,Chipnputt,PRO,ATE,-15,ATH,1,-14,52,16,2,7172,44927,44989,
4,4,KnockoutG 🥊,PRO,ATE,-18,ATH,4,-14,52,16,2,3237,44947,45009,
4,4,Brit_The_Elder,AMA,ATE,-15,ATH,2,-13,54,20,2,109,44922,44984,
4,4,ROACH,AMA,ATE,-17,ATH,5,-12,55,21,2,7230,44961,45023,
4,4,CHERIE_ROSE,AMA,ATE,-14,ATH,8,-6,56,22,2,7189,44925,44987,
4,4,KillERBee,AMA,ATE,-18,ATH,12,-6,56,22,2,7173,44946,45008,
4,4,Nic79,SEMI,ATE,-7,ATH,5,-2,58,10,1,7176,44956,45018,
4,4,Sj_76,AMA,ATE,-13,ATH,12,-1,59,24,1,129,44966,45028,
4,4,RYANL503,AMA,ATE,-11,ATH,11,0,60,25,1,7174,44930,44992,
4,4,CANOTATIONS,AMA,ATE,-13,ATH,17,4,61,26,1,7232,44923,44985,
4,4,Iteach88,AMA,ATE,-1,ATH,21,20,62,27,1,7170,44942,45004,
