season,week,player,historicalRank,easyCode,easyScore,hardCode,hardScore,total,placement,divisionPlacement,points,sourcePlayerId,easyRoundId,hardRoundId,discordId
14,3,mini_G,ELITE,CBE,-29,CBH,-26,-55,1,1,25,8549,64153,64154,
14,3,leanin2it,ELITE,CBE,-26,CBH,-21,-47,2,2,21,6950,64255,64256,
14,3,Maximus,ELITE,CBE,-26,CBH,-21,-47,2,2,21,7177,64057,64058,
14,3,ZONK,AMA,CBE,-28,CBH,-19,-47,2,1,21,3826,64251,64252,
14,3,bigja33,ELITE,CBE,-25,CBH,-21,-46,5,4,15,4305,64053,64054,
14,3,Zanetti,ELITE,CBE,-22,CBH,-23,-45,6,5,14,28,64219,64220,
14,3,5.0jim,ELITE,CBE,-26,CBH,-18,-44,7,6,13,9288,64253,64254,
14,3,El Jorge,ELITE,CBE,-28,CBH,-16,-44,7,6,13,24,64259,64260,
14,3,Mully,ELITE,CBE,-25,CBH,-19,-44,7,6,13,88,64261,64262,
14,3,Princess_Bankshot,ELITE,CBE,-22,CBH,-21,-43,10,9,10,4945,64325,64326,
14,3,gomarino13,ELITE,CBE,-26,CBH,-16,-42,11,10,9,7171,64241,64242,
14,3,INDY,ELITE,CBE,-27,CBH,-15,-42,11,10,9,22,64265,64266,
14,3,YUK1N,ELITE,CBE,-25,CBH,-17,-42,11,10,9,31,64217,64218,
14,3,Laurent🇧🇪,PRO,CBE,-21,CBH,-20,-41,14,1,9,4186,64055,64056,
14,3,D3bb13,PRO,CBE,-22,CBH,-18,-40,15,2,9,72,64239,64240,
14,3,deebee,PRO,CBE,-21,CBH,-18,-39,16,3,8,65,64175,64176,
14,3,Jennem,PRO,CBE,-21,CBH,-18,-39,16,3,8,104,64213,64214,
14,3,Jesunet,AMA,CBE,-21,CBH,-17,-38,18,2,8,1548,64079,64080,
14,3,KCRob,PRO,CBE,-21,CBH,-17,-38,18,5,8,49,64331,64332,
14,3,plucky✌,PRO,CBE,-21,CBH,-17,-38,18,5,8,1108,64247,64248,
14,3,Slabdaddy,SEMI,CBE,-23,CBH,-15,-38,18,1,8,7267,64243,64244,
14,3,Chipnputt,PRO,CBE,-22,CBH,-15,-37,22,7,7,7172,64215,64216,
14,3,Dickfor24-7,NEW,CBE,-20,CBH,-16,-36,23,1,7,9428,64315,64316,
14,3,far canal,AMA,CBE,-24,CBH,-12,-36,23,3,7,9389,64093,64094,
14,3,NuttyGrandpa,SEMI,CBE,-20,CBH,-16,-36,23,2,7,93,64327,64328,
14,3,Ⲋⲧⲓⲥⲕⲩ,PRO,CBE,-25,CBH,-11,-36,23,8,7,8048,64257,64258,
14,3,lynniebodd,SEMI,CBE,-20,CBH,-15,-35,27,3,6,222,64077,64078,
14,3,Earthling,SEMI,CBE,-22,CBH,-12,-34,28,4,6,230,64337,64338,
14,3,Maxfrom-fr,NEW,CBE,-24,CBH,-10,-34,28,2,6,9289,64073,64074,
14,3,TrickyDicky,PRO,CBE,-23,CBH,-11,-34,28,9,6,59,64323,64324,
14,3,Neo Impossible,ELITE,CBE,-26,CBH,-7,-33,31,13,5,1205,64263,64264,
14,3,Raccoons Whisker,SEMI,CBE,-21,CBH,-12,-33,31,5,5,8268,64133,64134,
14,3,Larryr,PRO,CBE,-22,CBH,-10,-32,33,10,5,7968,64245,64246,
14,3,pluff,PRO,CBE,-20,CBH,-12,-32,33,10,5,9250,64313,64314,
14,3,PaulV-PPP 🇨🇦,PRO,CBE,-24,CBH,-7,-31,35,12,4,7183,64273,64274,
14,3,SerenityMoon,PRO,CBE,-21,CBH,-10,-31,35,12,4,244,64321,64322,
14,3,Spicy - DawnSophia,ELITE,CBE,-22,CBH,-8,-30,37,14,4,7165,64233,64234,
14,3,Chelle💯,SEMI,CBE,-22,CBH,-7,-29,38,6,4,7186,64335,64336,
14,3,Alyssa38,SEMI,CBE,-20,CBH,-7,-27,39,7,3,7184,64075,64076,
14,3,indianchief,SEMI,CBE,-25,CBH,0,-25,40,8,3,120,64249,64250,
14,3,roknhorsebrat,PRO,CBE,-20,CBH,-5,-25,40,14,3,6165,64221,64222,
14,3,awesome_kris,SEMI,CBE,-21,CBH,-3,-24,42,9,3,7207,64319,64320,
14,3,Shaggy960,SEMI,CBE,-19,CBH,-5,-24,42,9,3,9048,64173,64174,
14,3,Ultrafox_Lynne,AMA,CBE,-20,CBH,-4,-24,42,4,3,7229,64193,64194,
14,3,DMD-Enditnow,SEMI,CBE,-19,CBH,-4,-23,45,11,2,7175,64293,64294,
14,3,Nic79,SEMI,CBE,-18,CBH,-5,-23,45,11,2,7176,64237,64238,
14,3,Bmac,AMA,CBE,-19,CBH,-2,-21,47,5,2,2105,64329,64330,
14,3,Kd,AMA,CBE,-17,CBH,-3,-20,48,6,1,8188,64113,64114,
14,3,WendyW(Wyndemere2020),AMA,CBE,-18,CBH,0,-18,49,7,1,7231,64235,64236,
14,3,StoneyMan69,SEMI,CBE,-22,CBH,6,-16,50,13,1,7166,64317,64318,
14,3,Sj_76,AMA,CBE,-15,CBH,0,-15,51,8,1,129,64333,64334,
14,3,KillERBee,AMA,CBE,-3,CBH,-10,-13,52,9,1,7173,64033,64034,
