conflict_key,period,division,historical_player_name,game_number,easy_score_a,hard_score_a,combined_total_a,easy_score_b,hard_score_b,combined_total_b,source_a,source_b,source_cells_a,source_cells_b,raw_source_data_a,raw_source_data_b,review_status
"W107|TRICKYDICKY|2","W107","Division 1","TRICKYDICKY","2","---","---","0","-25","-15","-40","PRO WEEK CURRENT page 46 row 7","PRO WEEK CURRENT page 47 row 6","B7:W7","B6:W6","[""5"",""4th"",""TRICKYDICKY"",""1"",""1"",""0"",""3"",""-35"",""-22"",""-13"",""-35"",""1"","""",""---"",""---"",""0"","""","""",""---"",""---"",""0"","""",""""]","[""4"",""3rd"",""TRICKYDICKY"",""3"",""1"",""2"",""3"",""-118"",""-15"",""-19"",""-34"","""",""1"",""-25"",""-15"",""-40"","""",""1"",""-22"",""-22"",""-44"",""1"",""""]","NEEDS KRYS REVIEW"
"W107|TRICKYDICKY|3","W107","Division 1","TRICKYDICKY","3","---","---","0","-22","-22","-44","PRO WEEK CURRENT page 46 row 7","PRO WEEK CURRENT page 47 row 6","B7:W7","B6:W6","[""5"",""4th"",""TRICKYDICKY"",""1"",""1"",""0"",""3"",""-35"",""-22"",""-13"",""-35"",""1"","""",""---"",""---"",""0"","""","""",""---"",""---"",""0"","""",""""]","[""4"",""3rd"",""TRICKYDICKY"",""3"",""1"",""2"",""3"",""-118"",""-15"",""-19"",""-34"","""",""1"",""-25"",""-15"",""-40"","""",""1"",""-22"",""-22"",""-44"",""1"",""""]","NEEDS KRYS REVIEW"
"W107|KEIRAROBERT|1","W107","Division 2","KEIRAROBERT","1","-14","-10","-24","---","---","0","PRO WEEK CURRENT page 46 row 11","PRO WEEK CURRENT page 47 row 7","B11:W11","B7:W7","[""9"",""5th"",""KEIRAROBERT"",""3"",""2"",""1"",""6"",""-81"",""-14"",""-10"",""-24"",""1"","""",""-20"",""-13"",""-33"",""1"","""",""-17"",""-7"",""-24"","""",""1""]","[""5"",""4th"",""KEIRAROBERT"",""2"",""0"",""2"",""0"",""-40"",""---"",""---"",""0"","""","""",""-21"",""0"",""-21"","""",""1"",""-18"",""-1"",""-19"","""",""1""]","NEEDS KRYS REVIEW"
"W107|KEIRAROBERT|2","W107","Division 2","KEIRAROBERT","2","-20","-13","-33","-21","0","-21","PRO WEEK CURRENT page 46 row 11","PRO WEEK CURRENT page 47 row 7","B11:W11","B7:W7","[""9"",""5th"",""KEIRAROBERT"",""3"",""2"",""1"",""6"",""-81"",""-14"",""-10"",""-24"",""1"","""",""-20"",""-13"",""-33"",""1"","""",""-17"",""-7"",""-24"","""",""1""]","[""5"",""4th"",""KEIRAROBERT"",""2"",""0"",""2"",""0"",""-40"",""---"",""---"",""0"","""","""",""-21"",""0"",""-21"","""",""1"",""-18"",""-1"",""-19"","""",""1""]","NEEDS KRYS REVIEW"
"W107|KEIRAROBERT|3","W107","Division 2","KEIRAROBERT","3","-17","-7","-24","-18","-1","-19","PRO WEEK CURRENT page 46 row 11","PRO WEEK CURRENT page 47 row 7","B11:W11","B7:W7","[""9"",""5th"",""KEIRAROBERT"",""3"",""2"",""1"",""6"",""-81"",""-14"",""-10"",""-24"",""1"","""",""-20"",""-13"",""-33"",""1"","""",""-17"",""-7"",""-24"","""",""1""]","[""5"",""4th"",""KEIRAROBERT"",""2"",""0"",""2"",""0"",""-40"",""---"",""---"",""0"","""","""",""-21"",""0"",""-21"","""",""1"",""-18"",""-1"",""-19"","""",""1""]","NEEDS KRYS REVIEW"
"W107|MAMMOTHREPT|1","W107","Division 2","MAMMOTHREPT","1","---","---","0","-12","-12","-24","PRO WEEK CURRENT page 46 row 12","PRO WEEK CURRENT page 47 row 13","B12:W12","B13:W13","[""10"",""6th"",""MAMMOTHREPT"",""2"",""2"",""0"",""6"",""-46"",""---"",""---"",""0"","""","""",""-14"",""-7"",""-21"",""1"","""",""-18"",""-7"",""-25"",""1"",""""]","[""11"",""7th"",""MAMMOTHREPT"",""3"",""1"",""2"",""3"",""-82"",""-12"",""-12"",""-24"","""",""1"",""-19"",""-20"",""-39"",""1"","""",""-19"",""0"",""-19"","""",""1""]","NEEDS KRYS REVIEW"
"W107|MAMMOTHREPT|2","W107","Division 2","MAMMOTHREPT","2","-14","-7","-21","-19","-20","-39","PRO WEEK CURRENT page 46 row 12","PRO WEEK CURRENT page 47 row 13","B12:W12","B13:W13","[""10"",""6th"",""MAMMOTHREPT"",""2"",""2"",""0"",""6"",""-46"",""---"",""---"",""0"","""","""",""-14"",""-7"",""-21"",""1"","""",""-18"",""-7"",""-25"",""1"",""""]","[""11"",""7th"",""MAMMOTHREPT"",""3"",""1"",""2"",""3"",""-82"",""-12"",""-12"",""-24"","""",""1"",""-19"",""-20"",""-39"",""1"","""",""-19"",""0"",""-19"","""",""1""]","NEEDS KRYS REVIEW"
"W107|MAMMOTHREPT|3","W107","Division 2","MAMMOTHREPT","3","-18","-7","-25","-19","0","-19","PRO WEEK CURRENT page 46 row 12","PRO WEEK CURRENT page 47 row 13","B12:W12","B13:W13","[""10"",""6th"",""MAMMOTHREPT"",""2"",""2"",""0"",""6"",""-46"",""---"",""---"",""0"","""","""",""-14"",""-7"",""-21"",""1"","""",""-18"",""-7"",""-25"",""1"",""""]","[""11"",""7th"",""MAMMOTHREPT"",""3"",""1"",""2"",""3"",""-82"",""-12"",""-12"",""-24"","""",""1"",""-19"",""-20"",""-39"",""1"","""",""-19"",""0"",""-19"","""",""1""]","NEEDS KRYS REVIEW"
"W107|CHIPNPUTT|1","W107","Division 2","CHIPNPUTT","1","-16","-3","-19","-16","-9","-25","PRO WEEK CURRENT page 46 row 13","PRO WEEK CURRENT page 47 row 12","B13:W13","B12:W12","[""11"",""7th"",""CHIPNPUTT"",""3"",""1"",""2"",""3"",""-65"",""-16"",""-3"",""-19"","""",""1"",""-16"",""2"",""-14"","""",""1"",""-18"",""-14"",""-32"",""1"",""""]","[""10"",""6th"",""CHIPNPUTT"",""3"",""2"",""1"",""6"",""-86"",""-16"",""-9"",""-25"","""",""1"",""-23"",""-14"",""-37"",""1"","""",""-22"",""-2"",""-24"",""1"",""""]","NEEDS KRYS REVIEW"
"W107|CHIPNPUTT|2","W107","Division 2","CHIPNPUTT","2","-16","2","-14","-23","-14","-37","PRO WEEK CURRENT page 46 row 13","PRO WEEK CURRENT page 47 row 12","B13:W13","B12:W12","[""11"",""7th"",""CHIPNPUTT"",""3"",""1"",""2"",""3"",""-65"",""-16"",""-3"",""-19"","""",""1"",""-16"",""2"",""-14"","""",""1"",""-18"",""-14"",""-32"",""1"",""""]","[""10"",""6th"",""CHIPNPUTT"",""3"",""2"",""1"",""6"",""-86"",""-16"",""-9"",""-25"","""",""1"",""-23"",""-14"",""-37"",""1"","""",""-22"",""-2"",""-24"",""1"",""""]","NEEDS KRYS REVIEW"
"W107|CHIPNPUTT|3","W107","Division 2","CHIPNPUTT","3","-18","-14","-32","-22","-2","-24","PRO WEEK CURRENT page 46 row 13","PRO WEEK CURRENT page 47 row 12","B13:W13","B12:W12","[""11"",""7th"",""CHIPNPUTT"",""3"",""1"",""2"",""3"",""-65"",""-16"",""-3"",""-19"","""",""1"",""-16"",""2"",""-14"","""",""1"",""-18"",""-14"",""-32"",""1"",""""]","[""10"",""6th"",""CHIPNPUTT"",""3"",""2"",""1"",""6"",""-86"",""-16"",""-9"",""-25"","""",""1"",""-23"",""-14"",""-37"",""1"","""",""-22"",""-2"",""-24"",""1"",""""]","NEEDS KRYS REVIEW"
"W107|CHICAGOBRY|1","W107","Division 2","CHICAGOBRY","1","---","---","0","-13","-12","-25","PRO WEEK CURRENT page 46 row 14","PRO WEEK CURRENT page 47 row 18","B14:W14","B18:W18","[""12"",""8th"",""CHICAGOBRY"",""2"",""0"",""2"",""0"",""-62"",""---"",""---"",""0"","""","""",""-16"",""-14"",""-30"","""",""1"",""-21"",""-11"",""-32"","""",""1""]","[""16"",""9th"",""CHICAGOBRY"",""3"",""3"",""0"",""9"",""-98"",""-13"",""-12"",""-25"",""1"","""",""-18"",""-14"",""-32"",""1"","""",""-25"",""-16"",""-41"",""1"",""""]","NEEDS KRYS REVIEW"
"W107|CHICAGOBRY|2","W107","Division 2","CHICAGOBRY","2","-16","-14","-30","-18","-14","-32","PRO WEEK CURRENT page 46 row 14","PRO WEEK CURRENT page 47 row 18","B14:W14","B18:W18","[""12"",""8th"",""CHICAGOBRY"",""2"",""0"",""2"",""0"",""-62"",""---"",""---"",""0"","""","""",""-16"",""-14"",""-30"","""",""1"",""-21"",""-11"",""-32"","""",""1""]","[""16"",""9th"",""CHICAGOBRY"",""3"",""3"",""0"",""9"",""-98"",""-13"",""-12"",""-25"",""1"","""",""-18"",""-14"",""-32"",""1"","""",""-25"",""-16"",""-41"",""1"",""""]","NEEDS KRYS REVIEW"
"W107|CHICAGOBRY|3","W107","Division 2","CHICAGOBRY","3","-21","-11","-32","-25","-16","-41","PRO WEEK CURRENT page 46 row 14","PRO WEEK CURRENT page 47 row 18","B14:W14","B18:W18","[""12"",""8th"",""CHICAGOBRY"",""2"",""0"",""2"",""0"",""-62"",""---"",""---"",""0"","""","""",""-16"",""-14"",""-30"","""",""1"",""-21"",""-11"",""-32"","""",""1""]","[""16"",""9th"",""CHICAGOBRY"",""3"",""3"",""0"",""9"",""-98"",""-13"",""-12"",""-25"",""1"","""",""-18"",""-14"",""-32"",""1"","""",""-25"",""-16"",""-41"",""1"",""""]","NEEDS KRYS REVIEW"
"W107|NUTTYGRANDPA|1","W107","Division 3","NUTTYGRANDPA","1","-16","-14","-30","-16","-5","-21","PRO WEEK CURRENT page 46 row 18","PRO WEEK CURRENT page 47 row 20","B18:W18","B20:W20","[""16"",""9th"",""NUTTYGRANDPA"",""3"",""3"",""0"",""9"",""-88"",""-16"",""-14"",""-30"",""1"","""",""-22"",""-8"",""-30"",""1"","""",""-14"",""-14"",""-28"",""1"",""""]","[""18"",""11th"",""NUTTYGRANDPA"",""3"",""1"",""2"",""3"",""-60"",""-16"",""-5"",""-21"",""1"","""",""-19"",""-7"",""-26"","""",""1"",""-15"",""2"",""-13"","""",""1""]","NEEDS KRYS REVIEW"
"W107|NUTTYGRANDPA|2","W107","Division 3","NUTTYGRANDPA","2","-22","-8","-30","-19","-7","-26","PRO WEEK CURRENT page 46 row 18","PRO WEEK CURRENT page 47 row 20","B18:W18","B20:W20","[""16"",""9th"",""NUTTYGRANDPA"",""3"",""3"",""0"",""9"",""-88"",""-16"",""-14"",""-30"",""1"","""",""-22"",""-8"",""-30"",""1"","""",""-14"",""-14"",""-28"",""1"",""""]","[""18"",""11th"",""NUTTYGRANDPA"",""3"",""1"",""2"",""3"",""-60"",""-16"",""-5"",""-21"",""1"","""",""-19"",""-7"",""-26"","""",""1"",""-15"",""2"",""-13"","""",""1""]","NEEDS KRYS REVIEW"
"W107|NUTTYGRANDPA|3","W107","Division 3","NUTTYGRANDPA","3","-14","-14","-28","-15","2","-13","PRO WEEK CURRENT page 46 row 18","PRO WEEK CURRENT page 47 row 20","B18:W18","B20:W20","[""16"",""9th"",""NUTTYGRANDPA"",""3"",""3"",""0"",""9"",""-88"",""-16"",""-14"",""-30"",""1"","""",""-22"",""-8"",""-30"",""1"","""",""-14"",""-14"",""-28"",""1"",""""]","[""18"",""11th"",""NUTTYGRANDPA"",""3"",""1"",""2"",""3"",""-60"",""-16"",""-5"",""-21"",""1"","""",""-19"",""-7"",""-26"","""",""1"",""-15"",""2"",""-13"","""",""1""]","NEEDS KRYS REVIEW"
"W107|CATHY|1","W107","Division 3","CATHY","1","-13","-12","-25","-12","-10","-22","PRO WEEK CURRENT page 46 row 20","PRO WEEK CURRENT page 47 row 19","B20:W20","B19:W19","[""18"",""11th"",""CATHY"",""3"",""1"",""2"",""3"",""-70"",""-13"",""-12"",""-25"",""1"","""",""-20"",""-9"",""-29"","""",""1"",""-15"",""-1"",""-16"","""",""1""]","[""17"",""10th"",""CATHY"",""3"",""1"",""2"",""3"",""-62"",""-12"",""-10"",""-22"","""",""1"",""-21"",""-7"",""-28"",""1"","""",""-18"",""6"",""-12"","""",""1""]","NEEDS KRYS REVIEW"
"W107|CATHY|2","W107","Division 3","CATHY","2","-20","-9","-29","-21","-7","-28","PRO WEEK CURRENT page 46 row 20","PRO WEEK CURRENT page 47 row 19","B20:W20","B19:W19","[""18"",""11th"",""CATHY"",""3"",""1"",""2"",""3"",""-70"",""-13"",""-12"",""-25"",""1"","""",""-20"",""-9"",""-29"","""",""1"",""-15"",""-1"",""-16"","""",""1""]","[""17"",""10th"",""CATHY"",""3"",""1"",""2"",""3"",""-62"",""-12"",""-10"",""-22"","""",""1"",""-21"",""-7"",""-28"",""1"","""",""-18"",""6"",""-12"","""",""1""]","NEEDS KRYS REVIEW"
"W107|CATHY|3","W107","Division 3","CATHY","3","-15","-1","-16","-18","6","-12","PRO WEEK CURRENT page 46 row 20","PRO WEEK CURRENT page 47 row 19","B20:W20","B19:W19","[""18"",""11th"",""CATHY"",""3"",""1"",""2"",""3"",""-70"",""-13"",""-12"",""-25"",""1"","""",""-20"",""-9"",""-29"","""",""1"",""-15"",""-1"",""-16"","""",""1""]","[""17"",""10th"",""CATHY"",""3"",""1"",""2"",""3"",""-62"",""-12"",""-10"",""-22"","""",""1"",""-21"",""-7"",""-28"",""1"","""",""-18"",""6"",""-12"","""",""1""]","NEEDS KRYS REVIEW"
"W107|PRINCESS_SPICY|1","W107","Division 3","PRINCESS_SPICY","1","-14","-6","-20","-15","-11","-26","PRO WEEK CURRENT page 46 row 21","PRO WEEK CURRENT page 47 row 14","B21:W21","B14:W14","[""19"",""12th"",""PRINCESS_SPICY"",""3"",""0"",""3"",""0"",""-66"",""-14"",""-6"",""-20"","""",""1"",""-15"",""-7"",""-22"","""",""1"",""-20"",""-4"",""-24"","""",""1""]","[""12"",""8th"",""PRINCESS_SPICY"",""3"",""1"",""2"",""3"",""-77"",""-15"",""-11"",""-26"",""1"","""",""-20"",""-10"",""-30"","""",""1"",""-17"",""-4"",""-21"","""",""1""]","NEEDS KRYS REVIEW"
"W107|PRINCESS_SPICY|2","W107","Division 3","PRINCESS_SPICY","2","-15","-7","-22","-20","-10","-30","PRO WEEK CURRENT page 46 row 21","PRO WEEK CURRENT page 47 row 14","B21:W21","B14:W14","[""19"",""12th"",""PRINCESS_SPICY"",""3"",""0"",""3"",""0"",""-66"",""-14"",""-6"",""-20"","""",""1"",""-15"",""-7"",""-22"","""",""1"",""-20"",""-4"",""-24"","""",""1""]","[""12"",""8th"",""PRINCESS_SPICY"",""3"",""1"",""2"",""3"",""-77"",""-15"",""-11"",""-26"",""1"","""",""-20"",""-10"",""-30"","""",""1"",""-17"",""-4"",""-21"","""",""1""]","NEEDS KRYS REVIEW"
"W107|PRINCESS_SPICY|3","W107","Division 3","PRINCESS_SPICY","3","-20","-4","-24","-17","-4","-21","PRO WEEK CURRENT page 46 row 21","PRO WEEK CURRENT page 47 row 14","B21:W21","B14:W14","[""19"",""12th"",""PRINCESS_SPICY"",""3"",""0"",""3"",""0"",""-66"",""-14"",""-6"",""-20"","""",""1"",""-15"",""-7"",""-22"","""",""1"",""-20"",""-4"",""-24"","""",""1""]","[""12"",""8th"",""PRINCESS_SPICY"",""3"",""1"",""2"",""3"",""-77"",""-15"",""-11"",""-26"",""1"","""",""-20"",""-10"",""-30"","""",""1"",""-17"",""-4"",""-21"","""",""1""]","NEEDS KRYS REVIEW"

