period	period_id	status	division	division_id	leader_rows	course_tables	player_counts_per_course	observations	scored	unplayed	dom_sha256	structured_json_sha256	raw_html	raw_text	raw_json	exact_player_names
2025 December	301	COMPLETED	Amateur 1	26	4	8	Myst:4;Myst Hard:4;Shangri-La:4;Shangri-La - Hard:4;Venice:4;Venice - Hard:4;Viva Las Elvis:4;Viva Las Elvis - Hard:4	32	20	12	9E57ED359D516913E193367B64CD8C42A955991930C23A124F0FD36CAFF11EFB	8A9BFBCC3CF598771A80092F8914054789E67096AD14B2C1B9397DE862A38DFE	raw/period-301-division-26.html	raw/period-301-division-26.txt	raw/period-301-division-26.json	["Earthling","IMJOMAMA","RICK","Sarahlynn727"]
2025 December	301	COMPLETED	Amateur 2	27	5	8	Myst:5;Myst Hard:5;Shangri-La:5;Shangri-La - Hard:5;Venice:5;Venice - Hard:5;Viva Las Elvis:5;Viva Las Elvis - Hard:5	40	29	11	848280188F89FA18703B35E50CEB3B95911BA863A70EA89C0B63654AACE5CBD7	20FEEAE63198EA67006DD0ECA3604B3E55D980B699BD90BEC577F1BAAC41683A	raw/period-301-division-27.html	raw/period-301-division-27.txt	raw/period-301-division-27.json	["Mark1703","SMILEROBIN","mamabear2002","Bearded_Driver","SHANNON_OLIVEOWL"]
2025 November	281	COMPLETED	Amateur 1	26	9	8	Cherry Blossom:9;Cherry Blossom Hard:9;Temple at Zerzura:9;Temple at Zerzura - Hard:9;20,000 Leagues Under The Sea:9;20,000 Leagues Hard:9;Forgotten Fairyland:9;Forgotten Fairyland - Hard:9	72	72	0	0D156BB63108F635910EFBF6EB6DDD23A60F7BAC9AE4056FA51146BA425D842D	19308BFB79BFA80DCE891C31765417F14327F31F04A466CF48A8C7E50B851894	raw/period-281-division-26.html	raw/period-281-division-26.txt	raw/period-281-division-26.json	["SlugJug33","Earthling","The Real JB","RICK","IMJOMAMA","Audrey","SMILEROBIN","mamabear2002","Bearded_Driver"]
2025 October	261	COMPLETED	Amateur 1	26	6	8	Seagull Stacks:6;Seagull Stacks - Hard:6;Wallace & Gromit:6;Wallace & Gromit - Hard:6;8-Bit Lair:6;8-Bit Lair - Hard:6;Raptor Cliff's:6;Raptor Cliff's - Hard:6	48	29	19	956D8A69D081D8D1923CD4239BF7E3DEFC1EE946F09358C2CA2ACBEDB2123B0D	6F199B4D53764E556CA5E2D3DCDFB3515C12485450E170206BF27C9F0965C7E8	raw/period-261-division-26.html	raw/period-261-division-26.txt	raw/period-261-division-26.json	["Earthling","Audrey","SMILEROBIN","Bearded_Driver","ANDRIA77","KDK"]
2025 October	261	COMPLETED	Amateur 2	27	8	8	Seagull Stacks:8;Seagull Stacks - Hard:8;Wallace & Gromit:8;Wallace & Gromit - Hard:8;8-Bit Lair:8;8-Bit Lair - Hard:8;Raptor Cliff's:8;Raptor Cliff's - Hard:8	64	31	33	AFEF8ED698CB2D66547134B1ACD93AF29907CB8A3233E931ACAF7E54B016338B	9201153BF589E643DD3E9F030FEBB25FFE0BCCFBF211D090DEF5D56A52A3697A	raw/period-261-division-27.html	raw/period-261-division-27.txt	raw/period-261-division-27.json	["SlugJug33","Sarahlynn727","RICK","The Real JB","SavageMom71","Jesshsp","BIGDLONGSTROKE","Woofmaster521 (Kathy)"]
2025 September	241	COMPLETED	Amateur 2	27	5	8	Tourist Trap:5;Tourist Trap Hard:5;Gardens of Babylon:5;Gardens of Babylon Hard:5;Holiday Hideaway:5;Holiday Hideaway - Hard:5;Tokyo:5;Tokyo - Hard:5	40	30	10	B029E60FB6AE6DCF0BB1BF2CE633D127033F98393A347159FBC679653DF7964F	29A0237E0BF6BF60329F27B421964799F2CD751414EE81E26007F124C69214A3	raw/period-241-division-27.html	raw/period-241-division-27.txt	raw/period-241-division-27.json	["Audrey","Woofmaster521 (Kathy)","Bearded_Driver","BIGDLONGSTROKE","Earthling"]
2025 August	221	COMPLETED	Amateur 1	26	11	8	El Dorado:11;El Dorado Hard:11;Atlantis:11;Atlantis Hard:11;Alfheim:11;Alfheim Hard:11;Ice Lair:11;Ice Lair - Hard:11	88	61	27	6D75C7E45FF9A47069EE2818625D87D8302D25083293260F33F1932F30D7332B	EC12F2B3D23BDAC015FCB286E18A88FC01B1BA763C7D59EB1C7687338A33B357	raw/period-221-division-26.html	raw/period-221-division-26.txt	raw/period-221-division-26.json	["SubZero","ZoeDarlin","RUBBERDUCK","Merged into 8708","Sarahlynn727","Bearded_Driver","TommyGunnzFund","Earthling","TILTBOMB","ladybugg660","BIGDLONGSTROKE"]
