period	period_id	division	division_id	source_player_id	source_player_name	course	score_text	score_numeric	played_state	placement	hn1	points	raw_json_sha256
2025 December	301	Amateur 1	26	230	Earthling	Viva Las Elvis - Hard			False				8A9BFBCC3CF598771A80092F8914054789E67096AD14B2C1B9397DE862A38DFE
2025 December	301	Amateur 2	27	8908	Mark1703	Myst	-18	-18	True	1	3	203	20FEEAE63198EA67006DD0ECA3604B3E55D980B699BD90BEC577F1BAAC41683A
2025 December	301	Amateur 2	27	7589	SMILEROBIN	Myst	-17	-17	True	2	2	192	20FEEAE63198EA67006DD0ECA3604B3E55D980B699BD90BEC577F1BAAC41683A
2025 December	301	Amateur 2	27	8848	mamabear2002	Myst	-10	-10	True	3	2	182	20FEEAE63198EA67006DD0ECA3604B3E55D980B699BD90BEC577F1BAAC41683A
2025 December	301	Amateur 2	27	8428	Bearded_Driver	Myst	-10	-10	True	3	2	182	20FEEAE63198EA67006DD0ECA3604B3E55D980B699BD90BEC577F1BAAC41683A
2025 December	301	Amateur 2	27	8888	SHANNON_OLIVEOWL	Myst			False				20FEEAE63198EA67006DD0ECA3604B3E55D980B699BD90BEC577F1BAAC41683A
2025 December	301	Amateur 2	27	7589	SMILEROBIN	Myst Hard	-4	-4	True	1	3	203	20FEEAE63198EA67006DD0ECA3604B3E55D980B699BD90BEC577F1BAAC41683A
2025 December	301	Amateur 2	27	8428	Bearded_Driver	Myst Hard	-1	-1	True	2	1	191	20FEEAE63198EA67006DD0ECA3604B3E55D980B699BD90BEC577F1BAAC41683A
2025 December	301	Amateur 2	27	8848	mamabear2002	Myst Hard	4	4	True	3	1	181	20FEEAE63198EA67006DD0ECA3604B3E55D980B699BD90BEC577F1BAAC41683A
2025 December	301	Amateur 2	27	8888	SHANNON_OLIVEOWL	Myst Hard	12	12	True	4	0	170	20FEEAE63198EA67006DD0ECA3604B3E55D980B699BD90BEC577F1BAAC41683A
2025 December	301	Amateur 2	27	8908	Mark1703	Myst Hard			False				20FEEAE63198EA67006DD0ECA3604B3E55D980B699BD90BEC577F1BAAC41683A
2025 December	301	Amateur 2	27	7589	SMILEROBIN	Shangri-La	-16	-16	True	1	1	201	20FEEAE63198EA67006DD0ECA3604B3E55D980B699BD90BEC577F1BAAC41683A
2025 December	301	Amateur 2	27	8908	Mark1703	Shangri-La	-15	-15	True	2	2	192	20FEEAE63198EA67006DD0ECA3604B3E55D980B699BD90BEC577F1BAAC41683A
2025 December	301	Amateur 2	27	8888	SHANNON_OLIVEOWL	Shangri-La	-10	-10	True	3	1	181	20FEEAE63198EA67006DD0ECA3604B3E55D980B699BD90BEC577F1BAAC41683A
2025 December	301	Amateur 2	27	8428	Bearded_Driver	Shangri-La	-6	-6	True	4	1	171	20FEEAE63198EA67006DD0ECA3604B3E55D980B699BD90BEC577F1BAAC41683A
2025 December	301	Amateur 2	27	8848	mamabear2002	Shangri-La			False				20FEEAE63198EA67006DD0ECA3604B3E55D980B699BD90BEC577F1BAAC41683A
2025 December	301	Amateur 2	27	8908	Mark1703	Shangri-La - Hard	-8	-8	True	1	0	200	20FEEAE63198EA67006DD0ECA3604B3E55D980B699BD90BEC577F1BAAC41683A
2025 December	301	Amateur 2	27	8888	SHANNON_OLIVEOWL	Shangri-La - Hard	-1	-1	True	2	0	190	20FEEAE63198EA67006DD0ECA3604B3E55D980B699BD90BEC577F1BAAC41683A
2025 December	301	Amateur 2	27	7589	SMILEROBIN	Shangri-La - Hard	2	2	True	3	0	180	20FEEAE63198EA67006DD0ECA3604B3E55D980B699BD90BEC577F1BAAC41683A
2025 December	301	Amateur 2	27	8428	Bearded_Driver	Shangri-La - Hard	9	9	True	4	0	170	20FEEAE63198EA67006DD0ECA3604B3E55D980B699BD90BEC577F1BAAC41683A
2025 December	301	Amateur 2	27	8848	mamabear2002	Shangri-La - Hard			False				20FEEAE63198EA67006DD0ECA3604B3E55D980B699BD90BEC577F1BAAC41683A
2025 December	301	Amateur 2	27	7589	SMILEROBIN	Venice	-9	-9	True	1	0	200	20FEEAE63198EA67006DD0ECA3604B3E55D980B699BD90BEC577F1BAAC41683A
2025 December	301	Amateur 2	27	8888	SHANNON_OLIVEOWL	Venice	-7	-7	True	2	0	190	20FEEAE63198EA67006DD0ECA3604B3E55D980B699BD90BEC577F1BAAC41683A
2025 December	301	Amateur 2	27	8428	Bearded_Driver	Venice	5	5	True	3	1	181	20FEEAE63198EA67006DD0ECA3604B3E55D980B699BD90BEC577F1BAAC41683A
2025 December	301	Amateur 2	27	8848	mamabear2002	Venice			False				20FEEAE63198EA67006DD0ECA3604B3E55D980B699BD90BEC577F1BAAC41683A
2025 December	301	Amateur 2	27	8908	Mark1703	Venice			False				20FEEAE63198EA67006DD0ECA3604B3E55D980B699BD90BEC577F1BAAC41683A
