period	period_id	status	division	division_id	leader_rows	course_tables	player_counts_per_course	observations	scored	unplayed	classification	raw_json
2025 December	301	COMPLETED	Semi Pro 2	114	8	8	Myst:8;Myst Hard:8;Shangri-La:8;Shangri-La - Hard:8;Venice:8;Venice - Hard:8;Viva Las Elvis:8;Viva Las Elvis - Hard:8	64	50	14	COMPLETE_DATA_RECOVERED	raw/period-301-division-114.json
2025 December	301	COMPLETED	Semi Pro 3	115	5	8	Myst:5;Myst Hard:5;Shangri-La:5;Shangri-La - Hard:5;Venice:5;Venice - Hard:5;Viva Las Elvis:5;Viva Las Elvis - Hard:5	40	33	7	COMPLETE_DATA_RECOVERED	raw/period-301-division-115.json
2025 November	281	COMPLETED	Master	21	10	8	Cherry Blossom:10;Cherry Blossom Hard:10;Temple at Zerzura:10;Temple at Zerzura - Hard:10;20,000 Leagues Under The Sea:10;20,000 Leagues Hard:10;Forgotten Fairyland:10;Forgotten Fairyland - Hard:10	80	80	0	COMPLETE_DATA_RECOVERED	raw/period-281-division-21.json
2025 November	281	COMPLETED	Elite	22	10	8	Cherry Blossom:10;Cherry Blossom Hard:10;Temple at Zerzura:10;Temple at Zerzura - Hard:10;20,000 Leagues Under The Sea:10;20,000 Leagues Hard:10;Forgotten Fairyland:10;Forgotten Fairyland - Hard:10	80	80	0	COMPLETE_DATA_RECOVERED	raw/period-281-division-22.json
2025 November	281	COMPLETED	Pro 1	23	10	8	Cherry Blossom:10;Cherry Blossom Hard:10;Temple at Zerzura:10;Temple at Zerzura - Hard:10;20,000 Leagues Under The Sea:10;20,000 Leagues Hard:10;Forgotten Fairyland:10;Forgotten Fairyland - Hard:10	80	78	2	COMPLETE_DATA_RECOVERED	raw/period-281-division-23.json
2025 November	281	COMPLETED	Pro 2	24	10	8	Cherry Blossom:10;Cherry Blossom Hard:10;Temple at Zerzura:10;Temple at Zerzura - Hard:10;20,000 Leagues Under The Sea:10;20,000 Leagues Hard:10;Forgotten Fairyland:10;Forgotten Fairyland - Hard:10	80	74	6	COMPLETE_DATA_RECOVERED	raw/period-281-division-24.json
2025 November	281	COMPLETED	Pro 3	25	11	8	Cherry Blossom:11;Cherry Blossom Hard:11;Temple at Zerzura:11;Temple at Zerzura - Hard:11;20,000 Leagues Under The Sea:11;20,000 Leagues Hard:11;Forgotten Fairyland:11;Forgotten Fairyland - Hard:11	88	68	20	COMPLETE_DATA_RECOVERED	raw/period-281-division-25.json
2025 November	281	COMPLETED	Semi Pro 1	113	10	8	Cherry Blossom:10;Cherry Blossom Hard:10;Temple at Zerzura:10;Temple at Zerzura - Hard:10;20,000 Leagues Under The Sea:10;20,000 Leagues Hard:10;Forgotten Fairyland:10;Forgotten Fairyland - Hard:10	80	64	16	COMPLETE_DATA_RECOVERED	raw/period-281-division-113.json
2025 November	281	COMPLETED	Beginner	81	0	0		0	0	0	UNKNOWN_NO_ROWS	raw/period-281-division-81.json
2025 November	281	COMPLETED	Welcome	62	18	8	Cherry Blossom:18;Cherry Blossom Hard:18;Temple at Zerzura:18;Temple at Zerzura - Hard:18;20,000 Leagues Under The Sea:18;20,000 Leagues Hard:18;Forgotten Fairyland:18;Forgotten Fairyland - Hard:18	144	5	139	COMPLETE_DATA_RECOVERED	raw/period-281-division-62.json
2025 November	281	COMPLETED	Semi Pro 2	114	10	8	Cherry Blossom:10;Cherry Blossom Hard:10;Temple at Zerzura:10;Temple at Zerzura - Hard:10;20,000 Leagues Under The Sea:10;20,000 Leagues Hard:10;Forgotten Fairyland:10;Forgotten Fairyland - Hard:10	80	57	23	COMPLETE_DATA_RECOVERED	raw/period-281-division-114.json
2025 November	281	COMPLETED	Semi Pro 3	115	6	8	Cherry Blossom:6;Cherry Blossom Hard:6;Temple at Zerzura:6;Temple at Zerzura - Hard:6;20,000 Leagues Under The Sea:6;20,000 Leagues Hard:6;Forgotten Fairyland:6;Forgotten Fairyland - Hard:6	48	28	20	COMPLETE_DATA_RECOVERED	raw/period-281-division-115.json
2025 October	261	COMPLETED	Master	21	10	8	Seagull Stacks:10;Seagull Stacks - Hard:10;Wallace & Gromit:10;Wallace & Gromit - Hard:10;8-Bit Lair:10;8-Bit Lair - Hard:10;Raptor Cliff's:10;Raptor Cliff's - Hard:10	80	80	0	COMPLETE_DATA_RECOVERED	raw/period-261-division-21.json
2025 October	261	COMPLETED	Elite	22	10	8	Seagull Stacks:10;Seagull Stacks - Hard:10;Wallace & Gromit:10;Wallace & Gromit - Hard:10;8-Bit Lair:10;8-Bit Lair - Hard:10;Raptor Cliff's:10;Raptor Cliff's - Hard:10	80	76	4	COMPLETE_DATA_RECOVERED	raw/period-261-division-22.json
2025 October	261	COMPLETED	Pro 1	23	10	8	Seagull Stacks:10;Seagull Stacks - Hard:10;Wallace & Gromit:10;Wallace & Gromit - Hard:10;8-Bit Lair:10;8-Bit Lair - Hard:10;Raptor Cliff's:10;Raptor Cliff's - Hard:10	80	76	4	COMPLETE_DATA_RECOVERED	raw/period-261-division-23.json
2025 October	261	COMPLETED	Pro 2	24	10	8	Seagull Stacks:10;Seagull Stacks - Hard:10;Wallace & Gromit:10;Wallace & Gromit - Hard:10;8-Bit Lair:10;8-Bit Lair - Hard:10;Raptor Cliff's:10;Raptor Cliff's - Hard:10	80	49	31	COMPLETE_DATA_RECOVERED	raw/period-261-division-24.json
2025 October	261	COMPLETED	Pro 3	25	10	8	Seagull Stacks:10;Seagull Stacks - Hard:10;Wallace & Gromit:10;Wallace & Gromit - Hard:10;8-Bit Lair:10;8-Bit Lair - Hard:10;Raptor Cliff's:10;Raptor Cliff's - Hard:10	80	68	12	COMPLETE_DATA_RECOVERED	raw/period-261-division-25.json
2025 October	261	COMPLETED	Semi Pro 1	113	10	8	Seagull Stacks:10;Seagull Stacks - Hard:10;Wallace & Gromit:10;Wallace & Gromit - Hard:10;8-Bit Lair:10;8-Bit Lair - Hard:10;Raptor Cliff's:10;Raptor Cliff's - Hard:10	80	77	3	COMPLETE_DATA_RECOVERED	raw/period-261-division-113.json
2025 October	261	COMPLETED	Beginner	81	0	0		0	0	0	UNKNOWN_NO_ROWS	raw/period-261-division-81.json
2025 October	261	COMPLETED	Welcome	62	15	8	Seagull Stacks:15;Seagull Stacks - Hard:15;Wallace & Gromit:15;Wallace & Gromit - Hard:15;8-Bit Lair:15;8-Bit Lair - Hard:15;Raptor Cliff's:15;Raptor Cliff's - Hard:15	120	17	103	COMPLETE_DATA_RECOVERED	raw/period-261-division-62.json
2025 October	261	COMPLETED	Semi Pro 2	114	8	8	Seagull Stacks:8;Seagull Stacks - Hard:8;Wallace & Gromit:8;Wallace & Gromit - Hard:8;8-Bit Lair:8;8-Bit Lair - Hard:8;Raptor Cliff's:8;Raptor Cliff's - Hard:8	64	47	17	COMPLETE_DATA_RECOVERED	raw/period-261-division-114.json
2025 October	261	COMPLETED	Semi Pro 3	115	8	8	Seagull Stacks:8;Seagull Stacks - Hard:8;Wallace & Gromit:8;Wallace & Gromit - Hard:8;8-Bit Lair:8;8-Bit Lair - Hard:8;Raptor Cliff's:8;Raptor Cliff's - Hard:8	64	54	10	COMPLETE_DATA_RECOVERED	raw/period-261-division-115.json
2025 September	241	COMPLETED	Master	21	10	8	Tourist Trap:10;Tourist Trap Hard:10;Gardens of Babylon:10;Gardens of Babylon Hard:10;Holiday Hideaway:10;Holiday Hideaway - Hard:10;Tokyo:10;Tokyo - Hard:10	80	78	2	COMPLETE_DATA_RECOVERED	raw/period-241-division-21.json
2025 September	241	COMPLETED	Elite	22	10	8	Tourist Trap:10;Tourist Trap Hard:10;Gardens of Babylon:10;Gardens of Babylon Hard:10;Holiday Hideaway:10;Holiday Hideaway - Hard:10;Tokyo:10;Tokyo - Hard:10	80	80	0	COMPLETE_DATA_RECOVERED	raw/period-241-division-22.json
2025 September	241	COMPLETED	Pro 1	23	9	8	Tourist Trap:9;Tourist Trap Hard:9;Gardens of Babylon:9;Gardens of Babylon Hard:9;Holiday Hideaway:9;Holiday Hideaway - Hard:9;Tokyo:9;Tokyo - Hard:9	72	64	8	COMPLETE_DATA_RECOVERED	raw/period-241-division-23.json
2025 September	241	COMPLETED	Pro 2	24	8	8	Tourist Trap:8;Tourist Trap Hard:8;Gardens of Babylon:8;Gardens of Babylon Hard:8;Holiday Hideaway:8;Holiday Hideaway - Hard:8;Tokyo:8;Tokyo - Hard:8	64	48	16	COMPLETE_DATA_RECOVERED	raw/period-241-division-24.json
2025 September	241	COMPLETED	Pro 3	25	14	8	Tourist Trap:14;Tourist Trap Hard:14;Gardens of Babylon:14;Gardens of Babylon Hard:14;Holiday Hideaway:14;Holiday Hideaway - Hard:14;Tokyo:14;Tokyo - Hard:14	112	111	1	COMPLETE_DATA_RECOVERED	raw/period-241-division-25.json
2025 September	241	COMPLETED	Semi Pro 1	113	9	8	Tourist Trap:9;Tourist Trap Hard:9;Gardens of Babylon:9;Gardens of Babylon Hard:9;Holiday Hideaway:9;Holiday Hideaway - Hard:9;Tokyo:9;Tokyo - Hard:9	72	65	7	COMPLETE_DATA_RECOVERED	raw/period-241-division-113.json
2025 September	241	COMPLETED	Beginner	81	0	0		0	0	0	UNKNOWN_NO_ROWS	raw/period-241-division-81.json
2025 September	241	COMPLETED	Welcome	62	31	8	Tourist Trap:25;Tourist Trap Hard:25;Gardens of Babylon:25;Gardens of Babylon Hard:25;Holiday Hideaway:25;Holiday Hideaway - Hard:25;Tokyo:25;Tokyo - Hard:25	200	7	193	COMPLETE_DATA_RECOVERED	raw/period-241-division-62.json
2025 September	241	COMPLETED	Semi Pro 2	114	8	8	Tourist Trap:8;Tourist Trap Hard:8;Gardens of Babylon:8;Gardens of Babylon Hard:8;Holiday Hideaway:8;Holiday Hideaway - Hard:8;Tokyo:8;Tokyo - Hard:8	64	63	1	COMPLETE_DATA_RECOVERED	raw/period-241-division-114.json
2025 September	241	COMPLETED	Semi Pro 3	115	8	8	Tourist Trap:8;Tourist Trap Hard:8;Gardens of Babylon:8;Gardens of Babylon Hard:8;Holiday Hideaway:8;Holiday Hideaway - Hard:8;Tokyo:8;Tokyo - Hard:8	64	47	17	COMPLETE_DATA_RECOVERED	raw/period-241-division-115.json
2025 August	221	COMPLETED	Master	21	10	8	El Dorado:10;El Dorado Hard:10;Atlantis:10;Atlantis Hard:10;Alfheim:10;Alfheim Hard:10;Ice Lair:10;Ice Lair - Hard:10	80	66	14	COMPLETE_DATA_RECOVERED	raw/period-221-division-21.json
2025 August	221	COMPLETED	Elite	22	10	8	El Dorado:10;El Dorado Hard:10;Atlantis:10;Atlantis Hard:10;Alfheim:10;Alfheim Hard:10;Ice Lair:10;Ice Lair - Hard:10	80	75	5	COMPLETE_DATA_RECOVERED	raw/period-221-division-22.json
2025 August	221	COMPLETED	Pro 1	23	10	8	El Dorado:10;El Dorado Hard:10;Atlantis:10;Atlantis Hard:10;Alfheim:10;Alfheim Hard:10;Ice Lair:10;Ice Lair - Hard:10	80	57	23	COMPLETE_DATA_RECOVERED	raw/period-221-division-23.json
2025 August	221	COMPLETED	Pro 2	24	10	8	El Dorado:10;El Dorado Hard:10;Atlantis:10;Atlantis Hard:10;Alfheim:10;Alfheim Hard:10;Ice Lair:10;Ice Lair - Hard:10	80	65	15	COMPLETE_DATA_RECOVERED	raw/period-221-division-24.json
2025 August	221	COMPLETED	Pro 3	25	19	8	El Dorado:19;El Dorado Hard:19;Atlantis:19;Atlantis Hard:19;Alfheim:19;Alfheim Hard:19;Ice Lair:19;Ice Lair - Hard:19	152	133	19	COMPLETE_DATA_RECOVERED	raw/period-221-division-25.json
2025 August	221	COMPLETED	Semi Pro 1	113	9	8	El Dorado:9;El Dorado Hard:9;Atlantis:9;Atlantis Hard:9;Alfheim:9;Alfheim Hard:9;Ice Lair:9;Ice Lair - Hard:9	72	63	9	COMPLETE_DATA_RECOVERED	raw/period-221-division-113.json
2025 August	221	COMPLETED	Beginner	81	0	0		0	0	0	UNKNOWN_NO_ROWS	raw/period-221-division-81.json
2025 August	221	COMPLETED	Welcome	62	15	8	El Dorado:15;El Dorado Hard:15;Atlantis:15;Atlantis Hard:15;Alfheim:15;Alfheim Hard:15;Ice Lair:15;Ice Lair - Hard:15	120	2	118	COMPLETE_DATA_RECOVERED	raw/period-221-division-62.json
2025 August	221	COMPLETED	Semi Pro 2	114	10	8	El Dorado:10;El Dorado Hard:10;Atlantis:10;Atlantis Hard:10;Alfheim:10;Alfheim Hard:10;Ice Lair:10;Ice Lair - Hard:10	80	66	14	COMPLETE_DATA_RECOVERED	raw/period-221-division-114.json
2025 August	221	COMPLETED	Semi Pro 3	115	10	8	El Dorado:10;El Dorado Hard:10;Atlantis:10;Atlantis Hard:10;Alfheim:10;Alfheim Hard:10;Ice Lair:10;Ice Lair - Hard:10	80	71	9	COMPLETE_DATA_RECOVERED	raw/period-221-division-115.json
2025 July	201	COMPLETED	Master	21	10	8	Bogey's Bonanza:10;Bogey's Bonanza Hard:10;Upside Town:10;Upside Town - Hard:10;Journey to the Center of the Earth:10;Center of the Earth - Hard:10;Crystal Lair:10;Crystal Lair - Hard:10	80	78	2	COMPLETE_DATA_RECOVERED	raw/period-201-division-21.json
2025 July	201	COMPLETED	Elite	22	10	8	Bogey's Bonanza:10;Bogey's Bonanza Hard:10;Upside Town:10;Upside Town - Hard:10;Journey to the Center of the Earth:10;Center of the Earth - Hard:10;Crystal Lair:10;Crystal Lair - Hard:10	80	76	4	COMPLETE_DATA_RECOVERED	raw/period-201-division-22.json
2025 July	201	COMPLETED	Pro 1	23	9	8	Bogey's Bonanza:9;Bogey's Bonanza Hard:9;Upside Town:9;Upside Town - Hard:9;Journey to the Center of the Earth:9;Center of the Earth - Hard:9;Crystal Lair:9;Crystal Lair - Hard:9	72	66	6	COMPLETE_DATA_RECOVERED	raw/period-201-division-23.json
2025 July	201	COMPLETED	Pro 2	24	10	8	Bogey's Bonanza:10;Bogey's Bonanza Hard:10;Upside Town:10;Upside Town - Hard:10;Journey to the Center of the Earth:10;Center of the Earth - Hard:10;Crystal Lair:10;Crystal Lair - Hard:10	80	72	8	COMPLETE_DATA_RECOVERED	raw/period-201-division-24.json
2025 July	201	COMPLETED	Pro 3	25	15	8	Bogey's Bonanza:15;Bogey's Bonanza Hard:15;Upside Town:15;Upside Town - Hard:15;Journey to the Center of the Earth:15;Center of the Earth - Hard:15;Crystal Lair:15;Crystal Lair - Hard:15	120	98	22	COMPLETE_DATA_RECOVERED	raw/period-201-division-25.json
2025 July	201	COMPLETED	Semi Pro 1	113	9	8	Bogey's Bonanza:9;Bogey's Bonanza Hard:9;Upside Town:9;Upside Town - Hard:9;Journey to the Center of the Earth:9;Center of the Earth - Hard:9;Crystal Lair:9;Crystal Lair - Hard:9	72	44	28	COMPLETE_DATA_RECOVERED	raw/period-201-division-113.json
2025 July	201	COMPLETED	Beginner	81	9	8	Bogey's Bonanza:9;Bogey's Bonanza Hard:9;Upside Town:9;Upside Town - Hard:9;Journey to the Center of the Earth:9;Center of the Earth - Hard:9;Crystal Lair:9;Crystal Lair - Hard:9	72	38	34	COMPLETE_DATA_RECOVERED	raw/period-201-division-81.json
2025 July	201	COMPLETED	Welcome	62	5	8	Bogey's Bonanza:5;Bogey's Bonanza Hard:5;Upside Town:5;Upside Town - Hard:5;Journey to the Center of the Earth:5;Center of the Earth - Hard:5;Crystal Lair:5;Crystal Lair - Hard:5	40	1	39	COMPLETE_DATA_RECOVERED	raw/period-201-division-62.json
2025 July	201	COMPLETED	Semi Pro 2	114	5	8	Bogey's Bonanza:5;Bogey's Bonanza Hard:5;Upside Town:5;Upside Town - Hard:5;Journey to the Center of the Earth:5;Center of the Earth - Hard:5;Crystal Lair:5;Crystal Lair - Hard:5	40	32	8	COMPLETE_DATA_RECOVERED	raw/period-201-division-114.json
2025 July	201	COMPLETED	Semi Pro 3	115	7	8	Bogey's Bonanza:7;Bogey's Bonanza Hard:7;Upside Town:7;Upside Town - Hard:7;Journey to the Center of the Earth:7;Center of the Earth - Hard:7;Crystal Lair:7;Crystal Lair - Hard:7	56	42	14	COMPLETE_DATA_RECOVERED	raw/period-201-division-115.json
2025 June	181	COMPLETED	Master	21	10	8	Arizona Modern:10;Arizona Modern Hard:10;Quixote Valley:10;Quixote Valley Hard:10;Venice:10;Venice - Hard:10;Mars Gardens:10;Mars Gardens - Hard:10	80	76	4	COMPLETE_DATA_RECOVERED	raw/period-181-division-21.json
2025 June	181	COMPLETED	Elite	22	10	8	Arizona Modern:10;Arizona Modern Hard:10;Quixote Valley:10;Quixote Valley Hard:10;Venice:10;Venice - Hard:10;Mars Gardens:10;Mars Gardens - Hard:10	80	77	3	COMPLETE_DATA_RECOVERED	raw/period-181-division-22.json
2025 June	181	COMPLETED	Pro 1	23	10	8	Arizona Modern:10;Arizona Modern Hard:10;Quixote Valley:10;Quixote Valley Hard:10;Venice:10;Venice - Hard:10;Mars Gardens:10;Mars Gardens - Hard:10	80	78	2	COMPLETE_DATA_RECOVERED	raw/period-181-division-23.json
2025 June	181	COMPLETED	Pro 2	24	10	8	Arizona Modern:10;Arizona Modern Hard:10;Quixote Valley:10;Quixote Valley Hard:10;Venice:10;Venice - Hard:10;Mars Gardens:10;Mars Gardens - Hard:10	80	67	13	COMPLETE_DATA_RECOVERED	raw/period-181-division-24.json
2025 June	181	COMPLETED	Pro 3	25	12	8	Arizona Modern:12;Arizona Modern Hard:12;Quixote Valley:12;Quixote Valley Hard:12;Venice:12;Venice - Hard:12;Mars Gardens:12;Mars Gardens - Hard:12	96	85	11	COMPLETE_DATA_RECOVERED	raw/period-181-division-25.json
2025 June	181	COMPLETED	Semi Pro 1	113	8	8	Arizona Modern:8;Arizona Modern Hard:8;Quixote Valley:8;Quixote Valley Hard:8;Venice:8;Venice - Hard:8;Mars Gardens:8;Mars Gardens - Hard:8	64	36	28	COMPLETE_DATA_RECOVERED	raw/period-181-division-113.json
2025 June	181	COMPLETED	Beginner	81	8	8	Arizona Modern:8;Arizona Modern Hard:8;Quixote Valley:8;Quixote Valley Hard:8;Venice:8;Venice - Hard:8;Mars Gardens:8;Mars Gardens - Hard:8	64	29	35	COMPLETE_DATA_RECOVERED	raw/period-181-division-81.json
2025 June	181	COMPLETED	Welcome	62	6	8	Arizona Modern:6;Arizona Modern Hard:6;Quixote Valley:6;Quixote Valley Hard:6;Venice:6;Venice - Hard:6;Mars Gardens:6;Mars Gardens - Hard:6	48	0	48	COMPLETE_DATA_RECOVERED	raw/period-181-division-62.json
2025 June	181	COMPLETED	Semi Pro 2	114	6	8	Arizona Modern:6;Arizona Modern Hard:6;Quixote Valley:6;Quixote Valley Hard:6;Venice:6;Venice - Hard:6;Mars Gardens:6;Mars Gardens - Hard:6	48	32	16	COMPLETE_DATA_RECOVERED	raw/period-181-division-114.json
2025 June	181	COMPLETED	Semi Pro 3	115	10	8	Arizona Modern:10;Arizona Modern Hard:10;Quixote Valley:10;Quixote Valley Hard:10;Venice:10;Venice - Hard:10;Mars Gardens:10;Mars Gardens - Hard:10	80	51	29	COMPLETE_DATA_RECOVERED	raw/period-181-division-115.json
2025 May	161	COMPLETED	Master	21	10	8	Original Gothic:10;Original Gothic Hard:10;Labyrinth:10;Labyrinth - Hard:10;Meow Wolf:10;Meow Wolf - Hard:10;Raptor Cliff's:10;Raptor Cliff's - Hard:10	80	74	6	COMPLETE_DATA_RECOVERED	raw/period-161-division-21.json
2025 May	161	COMPLETED	Elite	22	10	8	Original Gothic:10;Original Gothic Hard:10;Labyrinth:10;Labyrinth - Hard:10;Meow Wolf:10;Meow Wolf - Hard:10;Raptor Cliff's:10;Raptor Cliff's - Hard:10	80	76	4	COMPLETE_DATA_RECOVERED	raw/period-161-division-22.json
2025 May	161	COMPLETED	Pro 1	23	10	8	Original Gothic:10;Original Gothic Hard:10;Labyrinth:10;Labyrinth - Hard:10;Meow Wolf:10;Meow Wolf - Hard:10;Raptor Cliff's:10;Raptor Cliff's - Hard:10	80	63	17	COMPLETE_DATA_RECOVERED	raw/period-161-division-23.json
2025 May	161	COMPLETED	Pro 2	24	10	8	Original Gothic:10;Original Gothic Hard:10;Labyrinth:10;Labyrinth - Hard:10;Meow Wolf:10;Meow Wolf - Hard:10;Raptor Cliff's:10;Raptor Cliff's - Hard:10	80	79	1	COMPLETE_DATA_RECOVERED	raw/period-161-division-24.json
2025 May	161	COMPLETED	Pro 3	25	9	8	Original Gothic:9;Original Gothic Hard:9;Labyrinth:9;Labyrinth - Hard:9;Meow Wolf:9;Meow Wolf - Hard:9;Raptor Cliff's:9;Raptor Cliff's - Hard:9	72	60	12	COMPLETE_DATA_RECOVERED	raw/period-161-division-25.json
2025 May	161	COMPLETED	Semi Pro 1	113	9	8	Original Gothic:9;Original Gothic Hard:9;Labyrinth:9;Labyrinth - Hard:9;Meow Wolf:9;Meow Wolf - Hard:9;Raptor Cliff's:9;Raptor Cliff's - Hard:9	72	43	29	COMPLETE_DATA_RECOVERED	raw/period-161-division-113.json
2025 May	161	COMPLETED	Beginner	81	8	8	Original Gothic:8;Original Gothic Hard:8;Labyrinth:8;Labyrinth - Hard:8;Meow Wolf:8;Meow Wolf - Hard:8;Raptor Cliff's:8;Raptor Cliff's - Hard:8	64	42	22	COMPLETE_DATA_RECOVERED	raw/period-161-division-81.json
2025 May	161	COMPLETED	Welcome	62	4	8	Original Gothic:4;Original Gothic Hard:4;Labyrinth:4;Labyrinth - Hard:4;Meow Wolf:4;Meow Wolf - Hard:4;Raptor Cliff's:4;Raptor Cliff's - Hard:4	32	0	32	COMPLETE_DATA_RECOVERED	raw/period-161-division-62.json
2025 May	161	COMPLETED	Semi Pro 2	114	8	8	Original Gothic:8;Original Gothic Hard:8;Labyrinth:8;Labyrinth - Hard:8;Meow Wolf:8;Meow Wolf - Hard:8;Raptor Cliff's:8;Raptor Cliff's - Hard:8	64	32	32	COMPLETE_DATA_RECOVERED	raw/period-161-division-114.json
2025 May	161	COMPLETED	Semi Pro 3	115	10	8	Original Gothic:10;Original Gothic Hard:10;Labyrinth:10;Labyrinth - Hard:10;Meow Wolf:10;Meow Wolf - Hard:10;Raptor Cliff's:10;Raptor Cliff's - Hard:10	80	53	27	COMPLETE_DATA_RECOVERED	raw/period-161-division-115.json
2025 April	141	COMPLETED	Master	21	10	8	Sweetopia:10;Sweetopia - Hard:10;Laser Lair:10;Laser Lair - Hard:10;Widow’s Walkabout:10;Widow’s Walkabout - Hard:10;Mount Olympus:10;Mount Olympus - Hard:10	80	79	1	COMPLETE_DATA_RECOVERED	raw/period-141-division-21.json
2025 April	141	COMPLETED	Elite	22	10	8	Sweetopia:10;Sweetopia - Hard:10;Laser Lair:10;Laser Lair - Hard:10;Widow’s Walkabout:10;Widow’s Walkabout - Hard:10;Mount Olympus:10;Mount Olympus - Hard:10	80	68	12	COMPLETE_DATA_RECOVERED	raw/period-141-division-22.json
2025 April	141	COMPLETED	Pro 1	23	10	8	Sweetopia:10;Sweetopia - Hard:10;Laser Lair:10;Laser Lair - Hard:10;Widow’s Walkabout:10;Widow’s Walkabout - Hard:10;Mount Olympus:10;Mount Olympus - Hard:10	80	76	4	COMPLETE_DATA_RECOVERED	raw/period-141-division-23.json
2025 April	141	COMPLETED	Pro 2	24	10	8	Sweetopia:10;Sweetopia - Hard:10;Laser Lair:10;Laser Lair - Hard:10;Widow’s Walkabout:10;Widow’s Walkabout - Hard:10;Mount Olympus:10;Mount Olympus - Hard:10	80	78	2	COMPLETE_DATA_RECOVERED	raw/period-141-division-24.json
2025 April	141	COMPLETED	Pro 3	25	16	8	Sweetopia:16;Sweetopia - Hard:16;Laser Lair:16;Laser Lair - Hard:16;Widow’s Walkabout:16;Widow’s Walkabout - Hard:16;Mount Olympus:16;Mount Olympus - Hard:16	128	99	29	COMPLETE_DATA_RECOVERED	raw/period-141-division-25.json
2025 April	141	COMPLETED	Semi Pro 1	113	0	0		0	0	0	UNKNOWN_NO_ROWS	raw/period-141-division-113.json
2025 April	141	COMPLETED	Beginner	81	10	8	Sweetopia:10;Sweetopia - Hard:10;Laser Lair:10;Laser Lair - Hard:10;Widow’s Walkabout:10;Widow’s Walkabout - Hard:10;Mount Olympus:10;Mount Olympus - Hard:10	80	41	39	COMPLETE_DATA_RECOVERED	raw/period-141-division-81.json
2025 April	141	COMPLETED	Welcome	62	13	8	Sweetopia:13;Sweetopia - Hard:13;Laser Lair:13;Laser Lair - Hard:13;Widow’s Walkabout:13;Widow’s Walkabout - Hard:13;Mount Olympus:13;Mount Olympus - Hard:13	104	2	102	COMPLETE_DATA_RECOVERED	raw/period-141-division-62.json
2025 April	141	COMPLETED	Semi Pro 2	114	0	0		0	0	0	UNKNOWN_NO_ROWS	raw/period-141-division-114.json
2025 April	141	COMPLETED	Semi Pro 3	115	0	0		0	0	0	UNKNOWN_NO_ROWS	raw/period-141-division-115.json
2025 March	121	COMPLETED	Master	21	10	8	Tethys Station:10;Tethys Station - Hard:10;Temple at Zerzura:10;Temple at Zerzura - Hard:10;20,000 Leagues Under The Sea:10;20,000 Leagues Hard:10;Around The World in 80 Days:10;Around The World - Hard:10	80	80	0	COMPLETE_DATA_RECOVERED	raw/period-121-division-21.json
2025 March	121	COMPLETED	Elite	22	10	8	Tethys Station:10;Tethys Station - Hard:10;Temple at Zerzura:10;Temple at Zerzura - Hard:10;20,000 Leagues Under The Sea:10;20,000 Leagues Hard:10;Around The World in 80 Days:10;Around The World - Hard:10	80	69	11	COMPLETE_DATA_RECOVERED	raw/period-121-division-22.json
2025 March	121	COMPLETED	Pro 1	23	10	8	Tethys Station:10;Tethys Station - Hard:10;Temple at Zerzura:10;Temple at Zerzura - Hard:10;20,000 Leagues Under The Sea:10;20,000 Leagues Hard:10;Around The World in 80 Days:10;Around The World - Hard:10	80	76	4	COMPLETE_DATA_RECOVERED	raw/period-121-division-23.json
2025 March	121	COMPLETED	Pro 2	24	10	8	Tethys Station:10;Tethys Station - Hard:10;Temple at Zerzura:10;Temple at Zerzura - Hard:10;20,000 Leagues Under The Sea:10;20,000 Leagues Hard:10;Around The World in 80 Days:10;Around The World - Hard:10	80	78	2	COMPLETE_DATA_RECOVERED	raw/period-121-division-24.json
2025 March	121	COMPLETED	Pro 3	25	15	8	Tethys Station:15;Tethys Station - Hard:15;Temple at Zerzura:15;Temple at Zerzura - Hard:15;20,000 Leagues Under The Sea:15;20,000 Leagues Hard:15;Around The World in 80 Days:15;Around The World - Hard:15	120	105	15	COMPLETE_DATA_RECOVERED	raw/period-121-division-25.json
2025 March	121	COMPLETED	Semi Pro 1	113	0	0		0	0	0	UNKNOWN_NO_ROWS	raw/period-121-division-113.json
2025 March	121	COMPLETED	Beginner	81	4	8	Tethys Station:4;Tethys Station - Hard:4;Temple at Zerzura:4;Temple at Zerzura - Hard:4;20,000 Leagues Under The Sea:4;20,000 Leagues Hard:4;Around The World in 80 Days:4;Around The World - Hard:4	32	13	19	COMPLETE_DATA_RECOVERED	raw/period-121-division-81.json
2025 March	121	COMPLETED	Welcome	62	14	8	Tethys Station:14;Tethys Station - Hard:14;Temple at Zerzura:14;Temple at Zerzura - Hard:14;20,000 Leagues Under The Sea:14;20,000 Leagues Hard:14;Around The World in 80 Days:14;Around The World - Hard:14	112	0	112	COMPLETE_DATA_RECOVERED	raw/period-121-division-62.json
2025 March	121	COMPLETED	Semi Pro 2	114	0	0		0	0	0	UNKNOWN_NO_ROWS	raw/period-121-division-114.json
2025 March	121	COMPLETED	Semi Pro 3	115	0	0		0	0	0	UNKNOWN_NO_ROWS	raw/period-121-division-115.json
