period	period_id	status	division	division_id	leader_rows	course_tables	player_counts_per_course	observations	scored	unplayed	classification	raw_json
2026 June	421	COMPLETED	Pro 2	24	7	8	Seagull Stacks:7;Seagull Stacks - Hard:7;Bogey's Bonanza:7;Bogey's Bonanza Hard:7;Journey to the Center of the Earth:7;Center of the Earth - Hard:7;Alfheim:7;Alfheim Hard:7	56	40	16	COMPLETE_DATA_RECOVERED	raw/period-421-division-24.json
2026 June	421	COMPLETED	Pro 3	25	7	8	Seagull Stacks:7;Seagull Stacks - Hard:7;Bogey's Bonanza:7;Bogey's Bonanza Hard:7;Journey to the Center of the Earth:7;Center of the Earth - Hard:7;Alfheim:7;Alfheim Hard:7	56	26	30	COMPLETE_DATA_RECOVERED	raw/period-421-division-25.json
2026 June	421	COMPLETED	Semi Pro 1	113	10	8	Seagull Stacks:10;Seagull Stacks - Hard:10;Bogey's Bonanza:10;Bogey's Bonanza Hard:10;Journey to the Center of the Earth:10;Center of the Earth - Hard:10;Alfheim:10;Alfheim Hard:10	80	67	13	COMPLETE_DATA_RECOVERED	raw/period-421-division-113.json
2026 June	421	COMPLETED	Beginner	81	0	0		0	0	0	UNKNOWN_NO_ROWS	raw/period-421-division-81.json
2026 June	421	COMPLETED	Welcome	62	25	8	Seagull Stacks:25;Seagull Stacks - Hard:25;Bogey's Bonanza:25;Bogey's Bonanza Hard:25;Journey to the Center of the Earth:25;Center of the Earth - Hard:25;Alfheim:25;Alfheim Hard:25	200	15	185	COMPLETE_DATA_RECOVERED	raw/period-421-division-62.json
2026 June	421	COMPLETED	Semi Pro 2	114	6	8	Seagull Stacks:6;Seagull Stacks - Hard:6;Bogey's Bonanza:6;Bogey's Bonanza Hard:6;Journey to the Center of the Earth:6;Center of the Earth - Hard:6;Alfheim:6;Alfheim Hard:6	48	25	23	COMPLETE_DATA_RECOVERED	raw/period-421-division-114.json
2026 June	421	COMPLETED	Semi Pro 3	115	0	0		0	0	0	UNKNOWN_NO_ROWS	raw/period-421-division-115.json
2026 May	401	COMPLETED	Master	21	10	8	Quixote Valley:10;Quixote Valley Hard:10;Atlantis:10;Atlantis Hard:10;Raptor Cliff's:10;Raptor Cliff's - Hard:10;Tokyo:10;Tokyo - Hard:10	80	80	0	COMPLETE_DATA_RECOVERED	raw/period-401-division-21.json
2026 May	401	COMPLETED	Elite	22	10	8	Quixote Valley:10;Quixote Valley Hard:10;Atlantis:10;Atlantis Hard:10;Raptor Cliff's:10;Raptor Cliff's - Hard:10;Tokyo:10;Tokyo - Hard:10	80	71	9	COMPLETE_DATA_RECOVERED	raw/period-401-division-22.json
2026 May	401	COMPLETED	Pro 1	23	10	8	Quixote Valley:10;Quixote Valley Hard:10;Atlantis:10;Atlantis Hard:10;Raptor Cliff's:10;Raptor Cliff's - Hard:10;Tokyo:10;Tokyo - Hard:10	80	60	20	COMPLETE_DATA_RECOVERED	raw/period-401-division-23.json
2026 May	401	COMPLETED	Pro 2	24	9	8	Quixote Valley:9;Quixote Valley Hard:9;Atlantis:9;Atlantis Hard:9;Raptor Cliff's:9;Raptor Cliff's - Hard:9;Tokyo:9;Tokyo - Hard:9	72	56	16	COMPLETE_DATA_RECOVERED	raw/period-401-division-24.json
2026 May	401	COMPLETED	Pro 3	25	12	8	Quixote Valley:12;Quixote Valley Hard:12;Atlantis:12;Atlantis Hard:12;Raptor Cliff's:12;Raptor Cliff's - Hard:12;Tokyo:12;Tokyo - Hard:12	96	64	32	COMPLETE_DATA_RECOVERED	raw/period-401-division-25.json
2026 May	401	COMPLETED	Semi Pro 1	113	10	8	Quixote Valley:10;Quixote Valley Hard:10;Atlantis:10;Atlantis Hard:10;Raptor Cliff's:10;Raptor Cliff's - Hard:10;Tokyo:10;Tokyo - Hard:10	80	62	18	COMPLETE_DATA_RECOVERED	raw/period-401-division-113.json
2026 May	401	COMPLETED	Beginner	81	0	0		0	0	0	UNKNOWN_NO_ROWS	raw/period-401-division-81.json
2026 May	401	COMPLETED	Welcome	62	8	8	Quixote Valley:8;Quixote Valley Hard:8;Atlantis:8;Atlantis Hard:8;Raptor Cliff's:8;Raptor Cliff's - Hard:8;Tokyo:8;Tokyo - Hard:8	64	2	62	COMPLETE_DATA_RECOVERED	raw/period-401-division-62.json
2026 May	401	COMPLETED	Semi Pro 2	114	7	8	Quixote Valley:7;Quixote Valley Hard:7;Atlantis:7;Atlantis Hard:7;Raptor Cliff's:7;Raptor Cliff's - Hard:7;Tokyo:7;Tokyo - Hard:7	56	28	28	COMPLETE_DATA_RECOVERED	raw/period-401-division-114.json
2026 May	401	COMPLETED	Semi Pro 3	115	7	8	Quixote Valley:7;Quixote Valley Hard:7;Atlantis:7;Atlantis Hard:7;Raptor Cliff's:7;Raptor Cliff's - Hard:7;Tokyo:7;Tokyo - Hard:7	56	10	46	COMPLETE_DATA_RECOVERED	raw/period-401-division-115.json
2026 April	381	COMPLETED	Master	21	10	8	Labyrinth:10;Labyrinth - Hard:10;El Dorado:10;El Dorado Hard:10;Wallace & Gromit:10;Wallace & Gromit - Hard:10;8-Bit Lair:10;8-Bit Lair - Hard:10	80	76	4	COMPLETE_DATA_RECOVERED	raw/period-381-division-21.json
2026 April	381	COMPLETED	Elite	22	10	8	Labyrinth:10;Labyrinth - Hard:10;El Dorado:10;El Dorado Hard:10;Wallace & Gromit:10;Wallace & Gromit - Hard:10;8-Bit Lair:10;8-Bit Lair - Hard:10	80	72	8	COMPLETE_DATA_RECOVERED	raw/period-381-division-22.json
2026 April	381	COMPLETED	Pro 1	23	10	8	Labyrinth:10;Labyrinth - Hard:10;El Dorado:10;El Dorado Hard:10;Wallace & Gromit:10;Wallace & Gromit - Hard:10;8-Bit Lair:10;8-Bit Lair - Hard:10	80	64	16	COMPLETE_DATA_RECOVERED	raw/period-381-division-23.json
2026 April	381	COMPLETED	Pro 2	24	10	8	Labyrinth:10;Labyrinth - Hard:10;El Dorado:10;El Dorado Hard:10;Wallace & Gromit:10;Wallace & Gromit - Hard:10;8-Bit Lair:10;8-Bit Lair - Hard:10	80	64	16	COMPLETE_DATA_RECOVERED	raw/period-381-division-24.json
