"division_id"	"division"	"observations"	"played_scored"	"blank_unplayed"	"unique_players"
"113"	"Semi Pro 1"	"1152"	"931"	"221"	"58"
"114"	"Semi Pro 2"	"928"	"701"	"227"	"56"
"115"	"Semi Pro 3"	"720"	"482"	"238"	"50"
"21"	"Master"	"1992"	"1937"	"55"	"39"
"22"	"Elite"	"1976"	"1834"	"142"	"55"
"23"	"Pro 1"	"1976"	"1783"	"193"	"74"
"24"	"Pro 2"	"1920"	"1621"	"299"	"89"
"25"	"Pro 3"	"2656"	"2129"	"527"	"122"
"62"	"Welcome"	"1984"	"126"	"1858"	"124"
"81"	"Beginner"	"360"	"183"	"177"	"30"
