season,division,historical_name,left_placement,right_placement,left_side,left_row,right_side,right_row,left_rank_cell,right_rank_cell,source_url
s5,4,EVILARVE,2nd,3rd,L,33,R,34,A33:A33,AB34:AB34,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=663651584&range=A33:AB34
s5,4,FRYLOCK,2nd,4th,R,33,L,35,A33:A33,AB35:AB35,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=663651584&range=A33:AB35
s5,4,SKEETER,3rd,4th,L,34,R,35,A34:A34,AB35:AB35,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=663651584&range=A34:AB35
s5,5,RAY-OF-SUNSHINE,1st,2nd,L,39,R,40,A39:A39,AB40:AB40,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=663651584&range=A39:AB40
s5,5,WILMA_FINGERDOO,1st,3rd,R,39,L,41,A39:A39,AB41:AB41,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=663651584&range=A39:AB41
s5,5,MUSICAL_ATV,2nd,3rd,L,40,R,41,A40:A40,AB41:AB41,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=663651584&range=A40:AB41
s5,6,KYLE,2nd,3rd,L,47,R,48,A47:A47,AB48:AB48,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=663651584&range=A47:AB48
s5,6,SANDTRAP,2nd,3rd,R,47,L,48,A47:A47,AB48:AB48,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=663651584&range=A47:AB48
S6,1,MULLIGAN,1st,4th,L,4,R,7,A4:A4,AB7:AB7,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=606543101&range=A4:AB7
S6,1,BIGJA,1st,2nd,R,4,L,5,A4:A4,AB5:AB5,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=606543101&range=A4:AB5
S6,1,DERBY_DAZ,2nd,3rd,R,5,L,6,A5:A5,AB6:AB6,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=606543101&range=A5:AB6
S6,1,YODA,3rd,4th,R,6,L,7,A6:A6,AB7:AB7,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=606543101&range=A6:AB7
S6,2,CHIPNPUTT,1st,4th,L,11,R,14,A11:A11,AB14:AB14,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=606543101&range=A11:AB14
S6,2,SPICY,1st,2nd,R,11,L,12,A11:A11,AB12:AB12,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=606543101&range=A11:AB12
S6,2,SHOOTER_MCGAVIN,2nd,3rd,R,12,L,13,A12:A12,AB13:AB13,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=606543101&range=A12:AB13
S6,2,MAMMOTHREPT,3rd,4th,R,13,L,14,A13:A13,AB14:AB14,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=606543101&range=A13:AB14
S6,5,DARLAVA,1st,2nd,L,32,R,33,A32:A32,AB33:AB33,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=606543101&range=A32:AB33
S6,5,SANDTRAP,1st,2nd,R,32,L,33,A32:A32,AB33:AB33,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=606543101&range=A32:AB33
S6,6,SKORPZZ,1st,3rd,L,39,R,41,A39:A39,AB41:AB41,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=606543101&range=A39:AB41
S6,6,EARTHLING,1st,3rd,R,39,L,41,A39:A39,AB41:AB41,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=606543101&range=A39:AB41
S7,1,BIGJA,1st,2nd,L,4,R,5,A4:A4,AB5:AB5,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=263109864&range=A4:AB5
S7,1,DERBY_DAZ,1st,2nd,R,4,L,5,A4:A4,AB5:AB5,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=263109864&range=A4:AB5
S7,1,YODA,3rd,4th,L,6,R,7,A6:A6,AB7:AB7,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=263109864&range=A6:AB7
S7,1,SPICY,3rd,4th,R,6,L,7,A6:A6,AB7:AB7,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=263109864&range=A6:AB7
S7,2,MULLIGAN,1st,4th,L,11,R,14,A11:A11,AB14:AB14,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=263109864&range=A11:AB14
S7,2,SHOOTER_MCGAVIN,1st,2nd,R,11,L,12,A11:A11,AB12:AB12,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=263109864&range=A11:AB12
S7,2,MAMMOTHREPT,2nd,3rd,R,12,L,13,A12:A12,AB13:AB13,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=263109864&range=A12:AB13
S7,2,SJ,3rd,4th,R,13,L,14,A13:A13,AB14:AB14,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=263109864&range=A13:AB14
S7,3,EVILARVAE,3rd,4th,L,20,R,21,A20:A20,AB21:AB21,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=263109864&range=A20:AB21
S7,3,RAY-OF-SUNSHINE,3rd,4th,R,20,L,21,A20:A20,AB21:AB21,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=263109864&range=A20:AB21
S7,4,SKEETER,1st,4th,L,25,R,28,A25:A25,AB28:AB28,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=263109864&range=A25:AB28
S7,4,MUSICAL_ATV,1st,2nd,R,25,L,26,A25:A25,AB26:AB26,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=263109864&range=A25:AB26
S7,4,EARTHLING,2nd,4th,R,26,L,28,A26:A26,AB28:AB28,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=263109864&range=A26:AB28
S7,5,DARLAVA,1st,2nd,L,32,R,33,A32:A32,AB33:AB33,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=263109864&range=A32:AB33
S7,5,WICKEDSHACK,1st,4th,R,32,L,35,A32:A32,AB35:AB35,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=263109864&range=A32:AB35
S7,5,SARAHLYNN727,2nd,3rd,L,33,R,34,A33:A33,AB34:AB34,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=263109864&range=A33:AB34
S7,5,SKORPZZ,3rd,4th,L,34,R,35,A34:A34,AB35:AB35,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=263109864&range=A34:AB35
s8,1,DERBY_DAZ,1st,2nd,L,4,R,5,A4:A4,AB5:AB5,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=1325943840&range=A4:AB5
s8,1,BIGJA,1st,2nd,R,4,L,5,A4:A4,AB5:AB5,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=1325943840&range=A4:AB5
s8,1,SPICY,3rd,4th,L,6,R,7,A6:A6,AB7:AB7,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=1325943840&range=A6:AB7
s8,1,MAMMOTHREPT,3rd,4th,R,6,L,7,A6:A6,AB7:AB7,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=1325943840&range=A6:AB7
s8,2,SJ,2nd,3rd,L,12,R,13,A12:A12,AB13:AB13,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=1325943840&range=A12:AB13
s8,2,CHIPNPUTT,2nd,3rd,R,12,L,13,A12:A12,AB13:AB13,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=1325943840&range=A12:AB13
s8,3,RAY-OF-SUNSHINE,1st,2nd,L,18,R,19,A18:A18,AB19:AB19,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=1325943840&range=A18:AB19
s8,3,WICKEDSHACK,1st,4th,R,18,L,21,A18:A18,AB21:AB21,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=1325943840&range=A18:AB21
s8,3,MUSICAL_ATV,2nd,3rd,L,19,R,20,A19:A19,AB20:AB20,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=1325943840&range=A19:AB20
s8,3,SKEETER,3rd,4th,L,20,R,21,A20:A20,AB21:AB21,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=1325943840&range=A20:AB21
s8,4,DARLAVA,1st,4th,L,25,R,28,A25:A25,AB28:AB28,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=1325943840&range=A25:AB28
s8,4,PAULV,1st,3rd,R,25,L,27,A25:A25,AB27:AB27,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=1325943840&range=A25:AB27
s8,4,KD,3rd,4th,R,27,L,28,A27:A27,AB28:AB28,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=1325943840&range=A27:AB28
s9,1,MAMMOTHREPT,3rd,4th,L,6,R,7,A6:A6,AB7:AB7,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=148209357&range=A6:AB7
s9,1,YODA,3rd,4th,R,6,L,7,A6:A6,AB7:AB7,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=148209357&range=A6:AB7
s9,2,CHIPNPUTT,1st,2nd,L,11,R,12,A11:A11,AB12:AB12,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=148209357&range=A11:AB12
s9,2,WICKEDSHACK,1st,3rd,R,11,L,13,A11:A11,AB13:AB13,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=148209357&range=A11:AB13
s9,2,RAY-OF-SUNSHINE,3rd,4th,R,13,L,14,A13:A13,AB14:AB14,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=148209357&range=A13:AB14
s9,3,PAULV,1st,2nd,L,18,R,19,A18:A18,AB19:AB19,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=148209357&range=A18:AB19
s9,3,KD,1st,4th,R,18,L,21,A18:A18,AB21:AB21,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=148209357&range=A18:AB21
s9,3,SKEETER,2nd,4th,L,19,R,21,A19:A19,AB21:AB21,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=148209357&range=A19:AB21
s9,4,MAMABEAR2002,1st,3rd,L,25,R,27,A25:A25,AB27:AB27,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=148209357&range=A25:AB27
s9,4,GATORSFAN89,1st,2nd,R,25,L,26,A25:A25,AB26:AB26,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=148209357&range=A25:AB26
s9,4,AUDREY,2nd,3rd,R,26,L,27,A26:A26,AB27:AB27,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=148209357&range=A26:AB27
s10,1,YODA,3rd,4th,L,6,R,7,A6:A6,AB7:AB7,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=1130581268&range=A6:AB7
s10,1,WICKEDSHACK,3rd,4th,R,6,L,7,A6:A6,AB7:AB7,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=1130581268&range=A6:AB7
s10,2,KD,3rd,4th,L,13,R,14,A13:A13,AB14:AB14,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=1130581268&range=A13:AB14
s10,2,PAULV,3rd,4th,R,13,L,14,A13:A13,AB14:AB14,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=1130581268&range=A13:AB14
s10,3,SKEETER,2nd,3rd,L,19,R,20,A19:A19,AB20:AB20,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=1130581268&range=A19:AB20
s10,3,AUDREY,2nd,4th,R,19,L,21,A19:A19,AB21:AB21,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=1130581268&range=A19:AB21
s10,4,WILL,1st,3rd,R,25,L,27,A25:A25,AB27:AB27,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=1130581268&range=A25:AB27
s10,4,SHANNON/OLIVEOWL,2nd,3rd,L,26,R,27,A26:A26,AB27:AB27,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=1130581268&range=A26:AB27
s10,4,GREATSEER,2nd,4th,R,26,L,28,A26:A26,AB28:AB28,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=1130581268&range=A26:AB28
s10,5,CANDYMAN,2nd,4th,L,33,R,35,A33:A33,AB35:AB35,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=1130581268&range=A33:AB35
s10,5,SKORPZZ,2nd,3rd,R,33,L,34,A33:A33,AB34:AB34,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=1130581268&range=A33:AB34
s10,5,PRINCESS SPICY,3rd,4th,R,34,L,35,A34:A34,AB35:AB35,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=1130581268&range=A34:AB35
