season,division,historical_name,left_placement,right_placement,left_side,left_row,right_side,right_row,left_rank_cell,right_rank_cell,source_url
13,2,PAULV-PPP,1st,2nd,R,11,L,12,A11:A11,AB12:AB12,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=1083331331&range=A11:AB12
13,2,KD,2nd,3rd,R,12,L,13,A12:A12,AB13:AB13,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=1083331331&range=A12:AB13
13,2,WAREY,3rd,4th,R,13,L,14,A13:A13,AB14:AB14,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=1083331331&range=A13:AB14
13,3,SPICY,1st,2nd,L,18,R,19,A18:A18,AB19:AB19,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=1083331331&range=A18:AB19
13,3,GIO,1st,4th,R,18,L,21,A18:A18,AB21:AB21,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=1083331331&range=A18:AB21
13,3,AUDREY,2nd,4th,L,19,R,21,A19:A19,AB21:AB21,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=1083331331&range=A19:AB21
14,1,BIGJA,1st,2nd,L,4,R,5,A4:A4,AB5:AB5,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=1005096364&range=A4:AB5
14,1,DERBY DAZ,1st,2nd,R,4,L,5,A4:A4,AB5:AB5,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=1005096364&range=A4:AB5
14,2,KD,2nd,4th,L,12,R,14,A12:A12,AB14:AB14,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=1005096364&range=A12:AB14
14,2,WAREY,2nd,3rd,R,12,L,13,A12:A12,AB13:AB13,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=1005096364&range=A12:AB13
14,2,GIO,3rd,4th,R,13,L,14,A13:A13,AB14:AB14,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=1005096364&range=A13:AB14
14,3,PASCAL,2nd,4th,L,19,R,21,A19:A19,AB21:AB21,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=1005096364&range=A19:AB21
14,3,ADAMANN,2nd,4th,R,19,L,21,A19:A19,AB21:AB21,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=1005096364&range=A19:AB21

