period	period_id	division_label	source_division_id	period_navigation_url	division_request_url	method	leader_rows	course_tables	course_rows	scored_observations	missing_score_observations	malformed_rows	classification	raw_response_file
2026 March	361	Semi Pro 2	114	https://dqvo64m7q9ujvqa-wmgt23ai.adb.us-ashburn-1.oraclecloudapps.com/ords/r/wmgt/monthly/home?g_currently_month_id=361&clear=1&cs=1EYkMt5EvEy7IZWtMw2nzWT4oAwB1zzOLARztBCxjP0Lx-3RKmeck3I9y3FE5Kg8cxLI_y0f9KZlmq4rJj_N0_Q	https://dqvo64m7q9ujvqa-wmgt23ai.adb.us-ashburn-1.oraclecloudapps.com/ords/f?p=500:1:215532754269020:::1:P1_LEAGUE_ID:114	GET	7	8	56	56	0	0	COMPLETE	NOT_PRESERVED
2026 March	361	Semi Pro 3	115	https://dqvo64m7q9ujvqa-wmgt23ai.adb.us-ashburn-1.oraclecloudapps.com/ords/r/wmgt/monthly/home?g_currently_month_id=361&clear=1&cs=1EYkMt5EvEy7IZWtMw2nzWT4oAwB1zzOLARztBCxjP0Lx-3RKmeck3I9y3FE5Kg8cxLI_y0f9KZlmq4rJj_N0_Q	https://dqvo64m7q9ujvqa-wmgt23ai.adb.us-ashburn-1.oraclecloudapps.com/ords/f?p=500:1:215532754269020:::1:P1_LEAGUE_ID:115	GET	5	8	40	21	19	0	COMPLETE	NOT_PRESERVED
2026 April	381	Semi Pro 2	114	https://dqvo64m7q9ujvqa-wmgt23ai.adb.us-ashburn-1.oraclecloudapps.com/ords/r/wmgt/monthly/home?g_currently_month_id=381&clear=1&cs=1EgP8O5GIU_gKOAudTOROeGE_AzrTbXcbtTTFOkjLyLCos-hCSo3at3dhYdHeTtF3jBT8ukgNklVG-C6lMOlLHA	https://dqvo64m7q9ujvqa-wmgt23ai.adb.us-ashburn-1.oraclecloudapps.com/ords/f?p=500:1:215532754269020:::1:P1_LEAGUE_ID:114	GET	8	8	64	57	7	0	COMPLETE	NOT_PRESERVED
2026 May	401	Semi Pro 2	114	https://dqvo64m7q9ujvqa-wmgt23ai.adb.us-ashburn-1.oraclecloudapps.com/ords/r/wmgt/monthly/home?g_currently_month_id=401&clear=1&cs=19wtLOieQyFlnHg-zKsx7ezFulaXylbrqGgMrpI3cwyyUjLpJePeRBHeda1h6OtHTuyu7ojHrYU_ClI9KErTXLg	https://dqvo64m7q9ujvqa-wmgt23ai.adb.us-ashburn-1.oraclecloudapps.com/ords/f?p=500:1:215532754269020:::1:P1_LEAGUE_ID:114	GET	7	8	56	29	27	0	COMPLETE	NOT_PRESERVED
2026 May	401	Semi Pro 3	115	https://dqvo64m7q9ujvqa-wmgt23ai.adb.us-ashburn-1.oraclecloudapps.com/ords/r/wmgt/monthly/home?g_currently_month_id=401&clear=1&cs=19wtLOieQyFlnHg-zKsx7ezFulaXylbrqGgMrpI3cwyyUjLpJePeRBHeda1h6OtHTuyu7ojHrYU_ClI9KErTXLg	https://dqvo64m7q9ujvqa-wmgt23ai.adb.us-ashburn-1.oraclecloudapps.com/ords/f?p=500:1:215532754269020:::1:P1_LEAGUE_ID:115	GET	7	8	56	11	45	0	COMPLETE	NOT_PRESERVED
2026 June	421	Semi Pro 2	114	https://dqvo64m7q9ujvqa-wmgt23ai.adb.us-ashburn-1.oraclecloudapps.com/ords/r/wmgt/monthly/home?g_currently_month_id=421&clear=1&cs=1qPyc6JR46rtBOjovBvsn7u-7VKh2IREa9ZB-SDJClwORWiLqnui7fwjX9g6pLee89qKMsL0BvpB9O8b8bEZoLw	https://dqvo64m7q9ujvqa-wmgt23ai.adb.us-ashburn-1.oraclecloudapps.com/ords/f?p=500:1:215532754269020:::1:P1_LEAGUE_ID:114	GET	6	8	48	24	24	0	COMPLETE	NOT_PRESERVED
