period	period_id	division	division_source_value	request_url	leaders	course_tables	course_rows	scored	missing	html_file	text_file	json_file	screenshot_file
2025 May	161	Master	21	https://dqvo64m7q9ujvqa-wmgt23ai.adb.us-ashburn-1.oraclecloudapps.com/ords/f?p=500:1:208082047953018:::1:P1_LEAGUE_ID:21	10	8	80	74	6	period-161-division-21	.html	period-161-division-21	.txt	period-161-division-21	.json	period-161-division-21	.png
2025 August	221	Master	21	https://dqvo64m7q9ujvqa-wmgt23ai.adb.us-ashburn-1.oraclecloudapps.com/ords/f?p=500:1:208082047953018:::1:P1_LEAGUE_ID:21	10	8	80	66	14	period-221-division-21	.html	period-221-division-21	.txt	period-221-division-21	.json	period-221-division-21	.png
2025 September	241	Master	21	https://dqvo64m7q9ujvqa-wmgt23ai.adb.us-ashburn-1.oraclecloudapps.com/ords/f?p=500:1:208082047953018:::1:P1_LEAGUE_ID:21	10	8	80	78	2	period-241-division-21	.html	period-241-division-21	.txt	period-241-division-21	.json	period-241-division-21	.png
2025 September	241	Beginner	81	https://dqvo64m7q9ujvqa-wmgt23ai.adb.us-ashburn-1.oraclecloudapps.com/ords/f?p=500:1:208082047953018:::1:P1_LEAGUE_ID:81	0	0	0	0	0	period-241-division-81	.html	period-241-division-81	.txt	period-241-division-81	.json	period-241-division-81	.png
2026 March	361	Semi Pro 2	114	https://dqvo64m7q9ujvqa-wmgt23ai.adb.us-ashburn-1.oraclecloudapps.com/ords/f?p=500:1:208082047953018:::1:P1_LEAGUE_ID:114	7	8	56	56	0	period-361-division-114	.html	period-361-division-114	.txt	period-361-division-114	.json	period-361-division-114	.png
2026 March	361	Semi Pro 3	115	https://dqvo64m7q9ujvqa-wmgt23ai.adb.us-ashburn-1.oraclecloudapps.com/ords/f?p=500:1:208082047953018:::1:P1_LEAGUE_ID:115	5	8	40	21	19	period-361-division-115	.html	period-361-division-115	.txt	period-361-division-115	.json	period-361-division-115	.png
2026 April	381	Semi Pro 2	114	https://dqvo64m7q9ujvqa-wmgt23ai.adb.us-ashburn-1.oraclecloudapps.com/ords/f?p=500:1:208082047953018:::1:P1_LEAGUE_ID:114	8	8	64	54	10	period-381-division-114	.html	period-381-division-114	.txt	period-381-division-114	.json	period-381-division-114	.png
2026 April	381	Welcome	62	https://dqvo64m7q9ujvqa-wmgt23ai.adb.us-ashburn-1.oraclecloudapps.com/ords/f?p=500:1:208082047953018:::1:P1_LEAGUE_ID:62	12	8	96	27	69	period-381-division-62	.html	period-381-division-62	.txt	period-381-division-62	.json	period-381-division-62	.png
2026 May	401	Semi Pro 2	114	https://dqvo64m7q9ujvqa-wmgt23ai.adb.us-ashburn-1.oraclecloudapps.com/ords/f?p=500:1:208082047953018:::1:P1_LEAGUE_ID:114	7	8	56	28	28	period-401-division-114	.html	period-401-division-114	.txt	period-401-division-114	.json	period-401-division-114	.png
2026 May	401	Semi Pro 3	115	https://dqvo64m7q9ujvqa-wmgt23ai.adb.us-ashburn-1.oraclecloudapps.com/ords/f?p=500:1:208082047953018:::1:P1_LEAGUE_ID:115	7	8	56	10	46	period-401-division-115	.html	period-401-division-115	.txt	period-401-division-115	.json	period-401-division-115	.png
2026 May	401	Pro 3	25	https://dqvo64m7q9ujvqa-wmgt23ai.adb.us-ashburn-1.oraclecloudapps.com/ords/f?p=500:1:208082047953018:::1:P1_LEAGUE_ID:25	12	8	96	64	32	period-401-division-25	.html	period-401-division-25	.txt	period-401-division-25	.json	period-401-division-25	.png
2026 June	421	Semi Pro 2	114	https://dqvo64m7q9ujvqa-wmgt23ai.adb.us-ashburn-1.oraclecloudapps.com/ords/f?p=500:1:208082047953018:::1:P1_LEAGUE_ID:114	6	8	48	25	23	period-421-division-114	.html	period-421-division-114	.txt	period-421-division-114	.json	period-421-division-114	.png
2026 July	441	Pro 3	25	https://dqvo64m7q9ujvqa-wmgt23ai.adb.us-ashburn-1.oraclecloudapps.com/ords/f?p=500:1:208082047953018:::1:P1_LEAGUE_ID:25	10	8	80	54	26	period-441-division-25	.html	period-441-division-25	.txt	period-441-division-25	.json	period-441-division-25	.png
2024 September	55	Pro 3	25	https://dqvo64m7q9ujvqa-wmgt23ai.adb.us-ashburn-1.oraclecloudapps.com/ords/f?p=500:1:208082047953018:::1:P1_LEAGUE_ID:25	19	8	152	99	53	period-55-division-25	.html	period-55-division-25	.txt	period-55-division-25	.json	period-55-division-25	.png
2024 November	57	Pro 1	23	https://dqvo64m7q9ujvqa-wmgt23ai.adb.us-ashburn-1.oraclecloudapps.com/ords/f?p=500:1:208082047953018:::1:P1_LEAGUE_ID:23	10	8	80	78	2	period-57-division-23	.html	period-57-division-23	.txt	period-57-division-23	.json	period-57-division-23	.png
2024 December	58	Pro 1	23	https://dqvo64m7q9ujvqa-wmgt23ai.adb.us-ashburn-1.oraclecloudapps.com/ords/f?p=500:1:208082047953018:::1:P1_LEAGUE_ID:23	10	8	80	73	7	period-58-division-23	.html	period-58-division-23	.txt	period-58-division-23	.json	period-58-division-23	.png
