period	period_id	division_label	source_division_id	exact_screen_names_observed
2026 March	361	Semi Pro 2	114	NuttyGrandpa | Earthling | Audrey | SMILEROBIN | Bearded_Driver | WendyW(Wyndemere2020) | Heisenberg
2026 March	361	Semi Pro 3	115	DARLAVA | Sj_76 | SHANNON_OLIVEOWL | Woofmaster521 (Kathy) | Chicagobry
2026 April	381	Semi Pro 2	114	DARLAVA | SMILEROBIN | Heisenberg | Sj_76 | WendyW(Wyndemere2020) | Bearded_Driver | IMJOMAMA | Bethann
2026 May	401	Semi Pro 2	114	KillERBee | WendyW(Wyndemere2020) | IMJOMAMA | Heisenberg | DARLAVA | nootnootthesnek | SHA_HOOF_NA
2026 May	401	Semi Pro 3	115	Maximus_PrimeIV | Bethann | Gatorsfan89 | HaphazardOak007 | ANDOFGOD | Fry_Lock | sarahloo1971
2026 June	421	Semi Pro 2	114	ladytea | Heisenberg | Bethann | Earthling | DARLAVA | Maximus_PrimeIV
